Unnamed: 0,xmin,ymin,xmax,ymax,Object,labels
0,48,166,116,179,DELIVERY,Shipping Address
1,121,166,137,179,TO,Shipping Address
2,146,169,148,179,:,Shipping Address
3,467,60,568,84,BILLION,Issuer Address
4,580,60,696,84,SHOPPING,Issuer Address
5,706,60,793,84,CENTRE,Issuer Address
6,807,61,874,88,(P.B),Issuer Address
7,888,60,936,84,SDN.,Issuer Address
8,947,61,996,84,BHD.,Issuer Address
9,1015,73,1023,75,-,Issuer Address
10,1039,60,1214,84,199001016701,Issuer Address
11,1228,60,1359,88,(208370-W,Issuer Address
12,1371,61,1378,88,),Issuer Address
13,1391,61,1464,83,PARIT,Issuer Address
14,1474,61,1561,84,BUNTAR,Issuer Address
15,48,196,107,209,BILLION,Shipping Address
16,114,196,180,209,SHOPPING,Shipping Address
17,186,196,235,209,CENTRE,Shipping Address
18,244,196,282,211,(P.B),Shipping Address
19,290,196,318,209,SDN.,Shipping Address
20,324,196,352,209,BHD.,Shipping Address
21,48,227,73,241,GST,Shipping Address
22,79,228,94,241,ID:,Shipping Address
23,121,227,223,240,000343539712,Shipping Address
24,49,260,61,275,"2,",Shipping Address
25,70,260,145,274,PERSTARAN,Shipping Address
26,152,260,242,275,"SHAHBANDAR,",Shipping Address
27,250,260,292,273,TAMAN,Shipping Address
28,48,286,98,299,KERTAN,Shipping Address
29,104,286,171,299,TAMBAHAN,Shipping Address
30,177,286,199,300,"VI,",Shipping Address
31,208,285,249,299,34200,Shipping Address
32,255,286,297,299,PARIT,Shipping Address
33,48,310,104,325,"BUNTAR,",Shipping Address
34,113,310,154,323,PERAK,Shipping Address
35,604,165,670,182,Supplier,Vendor Address
36,677,166,703,179,No:,Vendor Address
37,720,165,770,178,A00037,Vendor Address
38,603,196,628,209,A.W.,Vendor Address
39,643,196,752,209,FABER-CASTELL,Vendor Address
40,760,196,781,211,(M),Vendor Address
41,789,196,813,209,SDN,Vendor Address
42,819,196,928,211,BHD(040619-U),Vendor Address
43,603,227,628,241,GST,Vendor Address
44,635,228,649,241,ID:,Vendor Address
45,676,227,778,240,002136195072,Vendor Address
46,604,260,642,275,"NO.9,",Vendor Address
47,652,260,692,273,JALAN,Vendor Address
48,698,260,729,275,"TP2,",Vendor Address
49,736,260,778,273,TAMAN,Vendor Address
50,785,260,894,274,PERINDUSTRIAN,Vendor Address
51,901,260,933,274,SIME,Vendor Address
52,604,286,634,300,"UEP,",Vendor Address
53,642,285,683,299,47600,Vendor Address
54,690,285,740,299,SUBANG,Vendor Address
55,746,286,784,300,"JAYA,",Vendor Address
56,793,285,864,299,SELANGOR.,Vendor Address
57,1145,157,1201,193,Invoice,Invoice Address
58,1208,166,1222,179,To,Invoice Address
59,1579,165,1695,188,PURCHASE,
60,1706,165,1779,188,ORDER,
61,1144,196,1203,209,BILLION,Invoice Address
62,1209,196,1276,209,SHOPPING,Invoice Address
63,1282,196,1331,209,CENTRE,Invoice Address
64,1339,196,1353,211,(P.,Invoice Address
65,1364,196,1378,211,B),Invoice Address
66,1386,196,1409,209,SDN.,Invoice Address
67,1420,196,1448,209,BHD.,Invoice Address
68,1579,197,1606,220,PO,Order Number
69,1616,198,1654,221,No:,Order Number
70,1668,193,1829,217,PBLPB096763,Order Number
71,1144,227,1168,241,GST,Invoice Address
72,1175,228,1200,241,ID:,Invoice Address
73,1246,227,1347,240,000343539712,Invoice Address
74,1144,259,1157,274,"2,",Invoice Address
75,1166,259,1241,272,PERSTARAN,Invoice Address
76,1248,259,1338,274,"SHAHBANDAR,",Invoice Address
77,1346,259,1388,272,TAMAN,Invoice Address
78,1393,259,1444,272,KERIAN,Invoice Address
79,1143,284,1211,297,TAMBAHAN,Invoice Address
80,1217,284,1239,297,"VI,",Invoice Address
81,1248,284,1289,297,34200,Invoice Address
82,1295,284,1337,297,PARIT,Invoice Address
83,1342,284,1398,298,"BUNTAR,",Invoice Address
84,1407,284,1448,297,PERAK,Invoice Address
88,48,336,72,349,TEL,Shipping Address
89,81,339,83,349,:,Shipping Address
90,92,337,168,350,057166222,Shipping Address
91,254,336,277,349,FAX,Shipping Address
92,277,331,291,358,:,Shipping Address
93,297,335,372,349,057166221,Shipping Address
94,603,336,627,349,TEL,Vendor Address
95,636,339,638,349,:,Vendor Address
96,648,335,749,349,603-80246363,Vendor Address
97,794,336,818,349,FAX,Vendor Address
98,826,339,828,349,:,Vendor Address
99,1143,336,1168,349,TEL,Invoice Address
100,1168,331,1182,358,:,Invoice Address
101,1188,335,1263,349,057166222,Invoice Address
102,1349,336,1373,349,FAX,Invoice Address
103,1381,339,1383,349,:,Invoice Address
104,1392,335,1467,349,057166221,Invoice Address
105,62,385,109,400,TERMS,
106,116,385,133,400,OF,
107,142,385,229,400,PURCHASE:,
108,253,382,261,397,0,
109,530,383,567,398,Date,Issuer Date
110,577,387,579,397,:,Issuer Date
111,589,382,684,397,02/12/2020,Issuer Date
112,793,382,869,401,Delivery,Deliver Date
113,876,383,913,398,Date,Deliver Date
114,922,387,924,397,:,Deliver Date
115,939,382,1035,397,08/12/2020,Deliver Date
116,1217,382,1387,398,CancellationDate:,Cancellation date
117,1407,382,1501,397,21/01/2021,Cancellation date
118,1869,383,1902,398,Page,
119,1910,383,1923,396,:1,
120,1935,382,1950,396,of,
121,1962,382,1968,396,2,
122,63,414,108,432,Buyer,
123,119,418,121,429,:,
124,136,413,153,428,47,
125,239,409,333,437,STATIONERY,
126,561,416,567,423,*,
127,574,416,630,430,REMARK,
128,640,419,642,430,:,
129,59,458,76,474,NO,
130,78,454,93,482,|,
131,107,458,173,474,PRODUCT,
132,426,454,530,482,DESCRIPTION,
133,783,458,808,474,vOM,
134,865,456,941,484,QUANTITY,
135,983,460,1029,475,F.0.C,
136,1073,461,1110,475,UNIT,
137,1116,460,1154,475,COST,
138,1205,460,1242,475,DISC,
139,1282,460,1309,475,OLD,
140,1316,460,1353,475,COST,
141,1393,459,1420,474,NET,
142,1427,459,1464,474,UNIT,
143,1470,459,1507,474,COST,
144,1509,454,1525,483,|,
145,1532,460,1579,475,TOTAL,
146,1586,460,1613,474,NET,
147,1620,460,1657,475,COST,
148,1659,454,1679,483,|,
149,1690,458,1736,474,TOTAL,
150,1790,457,1837,472,TOTAL,
151,1844,457,1872,472,NET,
152,1920,459,1948,473,TAX,
153,124,488,160,503,CODE,
154,382,488,447,503,BARCODE,
155,455,488,462,503,/,
156,471,488,572,505,(ARTICLENO),
157,882,485,929,513,ORDER,
158,980,485,1032,513,(Unit),
159,1404,488,1451,503,AFTER,
160,1458,488,1495,503,DISC,
161,1549,489,1596,503,AFTER,
162,1603,489,1640,504,DISC,
163,1702,484,1730,511,TAX,
164,1786,486,1823,501,COST,
165,1829,486,1877,501,W/GST,
166,53,522,60,539,1,
167,92,523,165,540,0051011,
168,187,518,204,550,|,
169,209,524,244,540,REF.,
170,257,523,288,540,W/B,
171,295,524,358,540,MARKER,
172,364,523,396,540,W20,
173,403,524,466,540,BULLET,
174,473,523,492,540,10,
175,500,523,529,540,PCS,
176,537,524,577,540,BLUE,
177,760,523,821,540,UNIT/1,
178,897,522,921,539,10.,
179,928,522,959,539,000,
180,1036,522,1045,539,0,
181,1106,522,1119,539,1.,
182,1127,522,1168,539,2600,
183,1310,522,1323,539,1.,
184,1331,522,1371,539,2600,
185,1454,522,1467,539,1.,
186,1476,522,1516,539,2600,
187,1614,522,1665,539,12.60,
188,1716,523,1757,540,0.00,
189,1845,523,1869,540,12.,
190,1877,523,1896,540,60,
191,209,554,347,571,9556089003339,
192,355,554,447,573,/(254051),
193,53,585,60,601,2,
194,92,586,165,603,0027045,
195,187,581,204,613,|,
196,209,586,245,603,REF.,
197,257,586,288,603,W/B,
198,295,586,358,603,MARKER,
199,364,586,396,603,W20,
200,403,586,466,603,BULLET,
201,473,586,492,603,10,
202,500,586,529,603,PCS,
203,537,586,589,603,BLACK,
204,760,586,810,603,UNIT/,
205,897,585,921,602,"10,",
206,928,585,959,602,000,
207,1036,585,1045,602,0,
208,1106,585,1119,602,1.,
209,1127,585,1168,602,2600,
210,1310,585,1323,602,1.,
211,1331,585,1371,602,2600,
212,1454,585,1467,602,1.,
213,1476,585,1516,602,2600,
214,1614,585,1665,602,12.60,
215,1716,586,1729,603,0.,
216,1737,586,1757,603,00,
217,1845,586,1869,603,12.,
218,1877,586,1896,603,60},
219,209,617,347,634,9556089003346,
220,355,617,447,636,/(254099),
221,53,648,60,665,3,
222,92,649,165,666,(0165466,
223,170,644,205,675,=|,
224,209,649,271,665,MARKER,
225,280,649,320,666,SLIM,
226,328,649,380,665,PRMNT,
227,387,649,427,665,FINE,
228,435,649,487,666,BLACK,
229,760,645,821,675,UNIT/1,
230,897,648,921,665,10.,
231,928,648,959,665,000,
232,1036,648,1045,665,0,
233,1106,648,1119,665,1.,
234,1127,648,1168,665,3900,
235,1310,648,1323,665,1.,
236,1331,648,1371,665,3900,
237,1454,648,1467,665,1.,
238,1476,648,1516,665,3900,
239,1614,648,1665,665,13.90,
240,1716,649,1757,666,0.00,
241,1845,649,1869,666,13.,
242,1877,649,1896,666,90,
243,209,680,347,697,9555684612298,
244,355,680,447,699,/(156499),
245,52,711,61,728,4,
246,92,712,165,729,10165468,
247,186,707,203,739,|,
248,209,712,272,729,MARKER,
249,280,712,320,729,SLIM,
250,328,712,380,729,PRMNT,
251,387,712,427,729,FINE,
252,435,712,475,729,BLUE,
253,760,708,808,739,UNIT/,
254,897,711,921,728,10.,
255,928,711,959,728,000,
256,1036,711,1045,728,0,
257,1106,711,1119,728,1.,
258,1127,711,1168,728,3900,
259,1310,711,1371,728,1.5400,
260,1454,711,1467,728,1.,
261,1476,711,1516,728,3900,
262,1614,711,1665,728,13.90,
263,1716,712,1757,729,0.00,
264,1845,712,1869,729,13.,
265,1877,712,1896,729,90,
266,209,743,346,760,9555684612021,
267,355,743,447,762,/(156451),
268,53,775,60,791,5,
269,92,775,166,792,0168740,
270,186,771,207,801,|,
271,210,775,331,792,SLIMW/BOARD,
272,338,775,400,791,MARKER,
273,408,775,448,792,BLUE,
274,760,771,821,801,UNIT/1,
275,897,774,921,791,10.,
276,928,774,959,791,000,
277,1036,774,1045,791,0,
278,1106,774,1119,791,1.,
279,1127,774,1168,791,3900,
280,1310,774,1371,791,1.5400,
281,1454,774,1467,791,1.,
282,1476,774,1516,791,3900,
283,1614,774,1665,791,13.90,
284,1716,775,1757,792,0.00,
285,1845,775,1869,792,13.,
286,1877,775,1896,792,90,
287,209,806,347,823,9555684611109,
288,355,806,447,825,/(156051),
289,52,837,61,854,6,
290,92,838,166,855,0168744,
291,184,833,206,865,|,
292,210,838,331,855,SLIMW/BOARD,
293,338,839,401,855,MARKER,
294,408,838,460,855,BLACK,
295,760,838,810,855,UNIT/,
296,897,837,921,854,10.,
297,928,837,959,854,000,
298,1036,837,1045,854,0,
299,1106,837,1119,854,1.,
300,1127,837,1168,854,3900,
301,1310,837,1371,854,1.5400,
302,1454,837,1467,854,1.,
303,1476,837,1516,854,3900,
304,1614,837,1665,854,13.90,
305,1716,838,1757,855,0.00,
306,1845,838,1869,855,13.,
307,1877,838,1896,855,90,
308,210,869,347,886,9555684611376,
309,355,869,362,886,/,
310,363,869,447,888,(156099),
311,53,900,61,916,7,
312,92,901,165,918,10027051,
