Unnamed: 0,xmin,ymin,xmax,ymax,Object,labels
0,223,171,279,182,PDT,
1,286,171,410,182,Reference,
2,420,171,462,182,No.,
3,944,93,1092,107,Purchase,
4,1104,93,1201,107,Order,
5,1068,142,1176,153,Purchase,Order Number
6,1186,142,1260,153,Order,Order Number
7,1266,142,1307,153,No.,Order Number
8,607,174,610,182,:,
9,1068,164,1176,175,Purchase,Issuer Date
10,1186,164,1260,175,Order,Issuer Date
11,1266,164,1323,175,Date,Issuer Date
12,1068,193,1156,204,Printed,Print date
13,1162,196,1191,204,on,Print date
14,754,208,894,217,S120016008,
15,224,212,280,243,Page,
16,607,225,610,233,2,
17,643,222,701,233,Loft2,
18,1070,222,1182,237,Expected,Deliver Date
19,1190,222,1285,233,Receive,Deliver Date
20,1296,222,1352,233,Date,Deliver Date
21,1362,222,1385,233,&,Deliver Date
22,1393,222,1462,233,Time:,Deliver Date
23,1493,142,1642,153,10069-61200,Order Number
24,1649,142,1714,153,16008,Order Number
25,1489,164,1619,175,22/09/2020,Issuer Date
26,1489,193,1619,204,23/09/2020,Print date
27,1627,193,1723,204,09:18:15,Print date
28,1494,221,1619,233,11/11/2020,Deliver Date
29,1632,222,1724,233,15:00:00,Deliver Date
31,231,244,322,255,Vendor,Vendor Address
35,1078,244,1170,259,Ship-To,Shipping Address
36,1180,244,1284,255,Location,Shipping Address
39,224,266,295,277,04516,Vendor Address
40,305,266,415,277,AWFAO2,Vendor Address
41,225,288,508,299,A.W.FABER-CASTELL,Vendor Address
42,515,288,557,302,(MD),Vendor Address
43,566,288,622,299,SDN,Vendor Address
44,630,288,689,299,BHD,Vendor Address
45,226,310,281,322,NO.9,Vendor Address
46,290,320,295,324,",",Vendor Address
47,303,310,390,322,JALAN,Vendor Address
48,400,310,432,322,TP,Vendor Address
49,440,310,453,322,2,Vendor Address
50,224,332,324,344,TAMAN,Vendor Address
51,334,332,555,344,PERINDUSTRLIAN,Vendor Address
52,566,332,633,344,SIME,Vendor Address
53,642,333,698,346,"UEP,",Vendor Address
54,223,354,295,366,47600,Vendor Address
55,305,354,419,366,SUBANG,Vendor Address
56,427,354,500,366,JAYA,Vendor Address
57,507,354,658,366,SELANGOR,Vendor Address
58,663,355,758,366,DARUL,Vendor Address
59,764,354,856,366,LLISAN,Vendor Address
60,224,376,260,388,‘Vel,Vendor Address
61,268,380,271,388,:,Vendor Address
62,279,377,433,388,03-56334718,Vendor Address
63,442,369,524,397,563347,Vendor Address
64,537,377,573,388,ax,Vendor Address
65,582,380,585,388,:,Vendor Address
66,592,377,745,388,O3-56341231,Vendor Address
67,1075,266,1141,277,10069,Shipping Address
68,1150,266,1192,277,BIP,Shipping Address
69,1070,288,1223,299,ECONSAVE,Shipping Address
70,1230,288,1306,299,CASH,Shipping Address
71,1313,288,1335,299,&,Shipping Address
72,1342,288,1439,299,CARRY,Shipping Address
73,1446,288,1504,302,(EM),Shipping Address
74,1514,288,1570,299,SDN,Shipping Address
75,1578,288,1637,299,BHD,Shipping Address
76,1056,303,1120,331,LOT,
77,1123,310,1195,324,"4173,",Shipping Address
78,1207,310,1357,322,ECONSAVE,Shipping Address
79,1364,310,1643,324,"ITYPERMARKETNO.1,",Shipping Address
80,1653,310,1773,322,BINTULU,Shipping Address
81,1782,310,1923,322,PARAGONt,Shipping Address
82,1071,332,1213,344,SARAWAK.,Shipping Address
83,1070,376,1106,388,‘Tel,Shipping Address
84,1114,380,1117,388,:,Shipping Address
85,1124,376,1287,388,O85-664348/9,Shipping Address
86,1380,377,1423,388,liax,Shipping Address
87,1431,380,1434,388,:,Shipping Address
88,1442,377,1583,388,O85-664350,Shipping Address
93,225,399,295,410,E-mail,
94,304,402,307,410,:,
95,1072,399,1141,410,E-mail,
96,1150,402,1153,410,:,
97,231,422,271,430,Trem,
98,476,406,589,441,Description,
99,1085,422,1123,430,SKU,
100,1136,421,1197,430,Order,
101,1206,421,1246,430,Unit,
102,1335,422,1395,430,Order,
103,1404,422,1450,430,Pack,
104,1547,406,1585,441,Total,
105,1663,421,1703,430,Unit,
106,1711,421,1762,430,Price,
107,1844,422,1921,430,Amouni],
108,231,425,312,459,Rarcede,
109,1090,425,1174,459,Capacity,
110,1551,426,1592,461,"ay,",
111,1871,440,1920,450,aan,
112,370,455,429,494,aos,
113,469,469,503,480,[FC,
114,512,469,573,480,URU,
115,581,469,633,480,ALL,
116,640,469,766,480,PURPOSE,
117,773,469,873,480,7ML-PB,
118,881,469,918,480,OF,
119,932,469,935,480,1,
120,948,469,1062,480,91040375,
121,1428,459,1448,490,eo,
122,1541,456,1592,491,40.0],
123,1684,456,1759,491,2.0200,
124,1857,469,1920,480,80.80],
125,240,499,282,529,ao,
126,469,508,503,520,[FC,
127,513,508,600,520,CLICK.,
128,607,508,729,520,BALLPEN,
129,740,508,827,523,(3LUE),
130,835,508,865,520,4S,
131,874,508,962,520,0.5MM,
132,971,508,1053,520,142593,
133,1417,499,1452,529,oe,
134,1542,494,1592,528,30.0],
135,1683,508,1762,520,2.3400,
136,1856,508,1920,520,70.20],
137,269,538,355,569,oes,
138,362,558,419,569,soxe,
139,470,548,504,559,[FC,
140,513,548,598,559,CLICK,
141,608,548,729,559,BALLPEN,
142,740,548,825,562,(ASST),
143,833,548,863,559,4S,
144,872,548,958,559,0.5MM,
145,971,548,1052,559,142594,
146,1191,538,1296,569,LUNES,
147,1417,538,1450,569,ae,
148,1542,548,1584,559,20.0,
149,1683,548,1762,559,2.3400,
150,1855,548,1920,559,46.80),
151,240,578,285,608,ae,
152,469,587,504,599,[FC,
153,513,587,597,599,CLICK,
154,607,587,731,598,BALLPEN,
155,740,587,827,601,(BLUR),
156,835,587,855,599,48,
157,874,587,962,599,0.7MM,
158,971,587,1054,599,142252,
159,1193,578,1296,608,bone,
160,1416,578,1452,608,sel,
161,1542,574,1592,609,20.0],
162,1684,587,1762,599,2.3400,
163,1855,587,1920,599,46.80],
164,470,627,504,638,[FC,
165,513,627,598,638,CLICK,
166,609,627,729,638,BALLPEN,
167,740,627,813,641,(BLK),
168,821,627,850,638,48,
169,860,627,945,638,0.7MM,
170,959,627,1039,638,142255,
171,1416,617,1449,648,oe,
172,1531,611,1592,646,40.0),
173,1683,627,1762,638,2.3400,
174,1856,627,1920,638,93.60],
175,233,657,285,687,ee,
176,513,666,597,678,CLICK,
177,607,666,731,677,BALLPEN,
178,740,666,825,681,(ASST),
179,833,666,863,678,48,
180,872,666,960,678,0.7MM,
181,969,666,1052,678,142254,
182,1192,657,1296,687,TUNDRA,
183,1416,657,1452,687,sel,
184,1541,654,1591,688,40.0,
185,1684,654,1762,688,2.3400,
186,1856,666,1920,678,93.60],
187,225,696,310,726,a,
188,429,692,456,730,—,
189,469,706,503,717,|FC,
190,513,706,600,717,CLICK,
191,607,706,729,717,BALLPEN,
192,740,706,813,719,(BLK),
193,821,706,850,717,4S,
194,860,706,947,717,0.5MM,
195,957,706,1039,717,142595,
196,1193,696,1296,726,ponte,
197,1287,692,1300,730,|,
198,1417,696,1449,726,oe,
199,1543,690,1592,725,30.0,
200,1683,689,1762,724,2.3400,
201,1857,706,1920,717,70.20),
202,302,735,342,766,ee,
203,342,735,419,766,o279,
204,469,745,503,756,[FC,
205,513,745,566,756,GEL,
206,572,745,626,756,PEN,
207,634,745,705,756,TRUE,
208,712,745,766,756,GEL,
209,772,745,806,756,0.5,
210,816,745,918,756,BK/RED,
211,925,745,961,756,BC,
212,1193,755,1241,766,DUNT,
213,1417,735,1450,766,ae,
214,1542,730,1592,763,20.0],
215,1684,745,1762,756,2.5300,
216,1856,745,1920,756,50.60),
217,483,782,554,793,43503,
218,250,809,290,840,0,
219,302,809,342,840,Oe,
220,362,829,419,840,0330,
221,469,819,504,831,FC,
222,513,819,566,830,GEL,
223,572,819,626,830,PEN,
224,634,819,705,830,TRUE,
225,712,819,766,831,GEL,
226,772,819,806,830,0.5,
227,816,819,912,830,BL/RED,
228,919,819,956,831,BC:,
229,1193,829,1241,840,TUN,
230,1246,809,1274,840,re,
231,1417,809,1452,840,oo,
232,1542,804,1594,836,30.0),
233,1684,803,1766,835,2.5300),
234,1856,802,1920,835,75.90),
235,469,856,554,867,243505,
236,308,883,338,914,oe,
237,469,893,504,905,[FC,
238,513,893,566,905,GEL,
239,572,893,626,904,PEN,
240,634,893,705,905,TRUE,
241,712,893,766,905,GFL,
242,772,893,806,905,0.5,
243,815,879,897,918,BK/BL,
244,897,879,940,918,BC,
245,951,893,1036,905,243504,
246,1416,883,1452,914,38,
247,1543,879,1592,912,20.0,
248,1684,878,1766,911,2.5300),
249,1856,893,1920,905,50.60),
250,468,933,503,944,[EC,
251,513,933,566,944,GEL,
252,572,933,624,944,PEN,
253,634,933,705,944,TRUE,
254,712,933,765,944,GEL,
255,772,933,807,944,0.7,
256,815,933,872,944,BLK,
257,879,933,950,944,2XxBC,
258,959,933,1045,944,243802,
259,1416,923,1449,954,$e,
260,1531,917,1590,952,40.0,
261,1683,933,1762,944,2.5300,
262,1844,933,1920,944,101.20,
263,338,958,355,997,TT,
264,362,982,419,993,osi4a,
265,435,958,455,997,—,
266,469,972,503,983,|FC,
267,513,972,566,983,GEL,
268,572,972,626,983,PEN,
269,634,972,706,983,TRUE,
270,712,972,766,983,GEL,
271,772,972,807,983,0.7,
272,816,972,934,983,BLK/RED,
273,941,972,1026,983,243803,
274,1417,963,1452,993,ee,
275,1542,956,1592,991,30.0],
276,1684,972,1762,983,2.5300,
277,1856,972,1920,983,75.90,
278,240,1002,285,1032,ae,
279,469,1011,504,1023, |FC,
280,513,1011,566,1023,GEL,
281,572,1012,624,1023,PEN,
282,634,1011,705,1023,TRUE,
283,712,1011,765,1023,GEL,
284,772,1011,807,1023,0.7,
285,815,1011,898,1023,BK/BL,
286,904,1011,941,1023,BC,
287,950,1011,1036,1023,243804,
288,1193,1002,1296,1032,ponte,
289,1287,998,1300,1036,|,
290,1417,1002,1449,1032,Ze,
291,1542,996,1592,1030,20.0),
292,1683,1011,1762,1023,2.5300,
293,1856,1011,1920,1023,50.60],
294,276,1041,290,1072,i,
295,513,1051,566,1062,GEL,
296,572,1051,626,1062,PEN,
297,634,1051,706,1062,TRUE,
298,712,1051,766,1062,GEL,
299,772,1051,807,1062,0.7,
300,816,1051,896,1062,BI/RD,
301,903,1051,939,1062,BC,
302,949,1051,1033,1062,243805,
303,1191,1041,1296,1072,LUNES,
304,1417,1041,1452,1072,oo,
305,1542,1036,1592,1069,20.0],
306,1684,1051,1762,1062,2.5300,
307,1856,1051,1920,1062,50.60),
308,468,1090,503,1102,IC,
309,513,1090,566,1102,GEL,
310,572,1091,624,1102,PEN,
311,634,1091,705,1102,TRUE,
312,712,1090,765,1102,GEL,
313,772,1091,807,1102,0.7,
314,815,1091,869,1102,BLU,
315,877,1090,913,1102,2X,
316,919,1090,955,1102,BC,
317,1416,1081,1452,1111,Sel,
318,1542,1076,1592,1109,20.0],
319,1683,1090,1762,1102,2.5300,
320,1856,1090,1920,1102,50.60),
321,469,1127,550,1138,243801,
322,287,1151,351,1189,oe,
323,468,1165,503,1176,(EC,
324,513,1165,573,1176,ONE,
325,580,1164,679,1176,TOUCIL,
326,685,1164,858,1176,CORRLECTOR,
327,866,1165,892,1176,18,
328,904,1164,987,1176,169209,
329,1193,1155,1296,1185,bone,
330,1416,1155,1452,1185,sel,
331,1542,1150,1592,1183,24.0],
332,1683,1164,1762,1176,4.5500,
333,1844,1164,1920,1176,109.20,
334,225,1194,360,1225,eee,
335,378,1214,416,1225,301,
336,470,1204,504,1215,FC,
337,513,1204,573,1215,ONE,
338,580,1204,677,1215,TOUCH,
339,685,1204,856,1215,CORRECTOR,
340,864,1204,956,1215,REFILL,
341,978,1204,992,1215,2S,
342,1006,1204,1080,1215,169204,
343,1191,1194,1296,1225,LUNES,
344,1417,1194,1452,1225,oo,
345,1542,1191,1592,1226,24.0],
346,1673,1191,1762,1226,4.5500,
347,1846,1204,1920,1215,109.20],
352,770,1256,782,1263,*,
353,791,1256,836,1268,This,
354,845,1256,860,1268,is,
355,867,1258,971,1271,computer,
356,978,1256,1091,1271,"generated,",
357,1100,1260,1126,1268,no,
358,1135,1256,1230,1271,signature,
359,1239,1256,1253,1268,is,
360,1262,1256,1372,1271,required.*,
363,1922,416,1924,1230,100000,
