Unnamed: 0,xmin,ymin,xmax,ymax,Object,labels
0,1513,51,1534,68,#,invoice details
1,1551,50,1713,68,INVOICE,invoice details
2,1727,51,1749,68,#,invoice details
3,1762,50,1903,68,45-2021,invoice details
5,1461,149,1535,177,Date:,invoice details
6,1700,153,1755,168,Dec,invoice details
7,1767,153,1809,170,"31,",invoice details
8,1823,153,1894,168,2019,invoice details
9,287,174,387,193,PETRO,invoice details
10,400,174,449,193,OIL,invoice details
15,1294,197,1422,215,Payment,invoice details
16,1433,197,1535,211,Terms:,invoice details
17,1775,196,1898,211,Transfer,invoice details
18,1389,240,1446,254,Due,invoice details
19,1460,240,1535,254,Date:,invoice details
20,1700,240,1755,254,Dec,invoice details
21,1767,240,1809,257,"31,",invoice details
22,1823,240,1894,254,2019,invoice details
23,165,283,277,297,PETRO,invoice details
24,289,283,342,297,OIL,invoice details
25,1299,285,1443,302,Balance,invoice details
26,1457,285,1535,302,Due:,invoice details
27,1653,285,1734,301,MYR,invoice details
28,1750,285,1895,305,"1,100.00",invoice details
29,166,336,205,350,Bill,shipping address
30,217,336,262,351,To:,shipping address
31,615,336,654,350,Bill,issuer address
32,670,336,751,351,From:,issuer address
33,164,367,269,386,Syslab,shipping address
34,280,368,493,386,Technologies,shipping address
35,615,368,697,382,Petro,issuer address
36,708,367,770,385,"OIL,",issuer address
37,784,368,917,382,Pakistan,issuer address
38,164,391,224,406,Sdn,shipping address
39,238,392,298,406,Bhd,shipping address
40,614,391,698,406,Office,issuer address
41,710,392,835,409,"29-A,3rd",issuer address
42,849,392,922,406,Floor,issuer address
43,164,416,210,430,3-Apr,shipping address
44,223,415,241,430,B,shipping address
45,255,415,390,430,Incubator,shipping address
46,402,416,425,432,"3,",shipping address
47,613,415,681,430,Twin,issuer address
48,694,415,749,434,City,issuer address
49,762,415,842,430,Plaza,issuer address
50,164,439,334,457,Technology,shipping address
51,348,439,413,454,Park,shipping address
52,425,439,496,454,Bukit,shipping address
53,616,439,650,454,1-Aug,issuer address
54,663,439,769,454,Markaz,issuer address
55,783,439,940,454,Islamabad.,issuer address
56,163,463,236,480,"Jalil,",shipping address
57,613,463,712,480,"44000,",issuer address
58,727,463,850,478,Pakistan,issuer address
59,165,487,460,505,"Kualalumopur,",shipping address
60,164,511,272,525,57000,shipping address
61,165,535,349,553,Malaysia,shipping address
62,1215,657,1337,675,Quantity,quantity
63,1567,653,1632,680,Rate,product price
64,1807,658,1896,671,mount,product net
65,1422,707,1492,721,MYR,product price
66,1504,707,1631,724,"2,100.00",product price
67,1687,707,1756,721,MYR,product net
68,1769,707,1896,724,"2,100.00",product net
69,1422,742,1492,756,MYR,product price
70,1506,742,1631,759,"1,500.00",product price
71,1687,742,1757,756,MYR,product net
72,1771,742,1896,758,"1,500.00",product net
73,1422,776,1492,790,MYR,product price
74,1506,776,1631,793,"1,500.00",product price
75,1687,776,1757,790,MYR,product net
76,1771,776,1896,793,"1,500.00",product net
77,1422,810,1492,824,MYR,product price
78,1504,810,1631,827,"2,000.00",product price
79,1687,810,1757,824,MYR,product net
80,1769,810,1896,827,"2,000.00",product net
81,1422,844,1492,859,MYR,product price
82,1506,844,1631,861,"1,800.00",product price
83,1687,844,1756,858,MYR,product net
84,1771,844,1896,861,"1,800.00",product net
85,152,707,272,726,Hosting,description
86,151,740,214,759,App,description
87,227,740,333,759,Desing,description
88,151,774,219,789,SEO,description
89,151,809,214,827,App,description
90,227,809,433,827,Development,description
91,151,843,219,858,Web,description
92,231,843,366,858,Services,description
93,1454,968,1535,996,Total:,billing info
94,1687,973,1757,987,MYR,billing info
95,1769,973,1896,989,"8,900.00",billing info
96,1336,1016,1449,1030,Amount,billing info
97,1462,1016,1535,1030,Paid:,billing info
98,1687,1016,1757,1030,MYR,billing info
99,1769,1016,1896,1032,"7,800.00",billing info
100,164,1125,265,1139,Terms:,note
101,165,1157,327,1175,Beneficiary,note
102,339,1157,419,1172,bears,note
103,430,1157,475,1172,the,note
104,489,1157,633,1175,Exchange,note
105,646,1157,713,1172,Rate,note
106,724,1157,893,1172,differences.,note
107,164,1184,225,1199,This,note
108,237,1184,258,1199,is,note
109,270,1185,372,1202,system,note
110,385,1184,539,1199,Generated,note
111,552,1184,653,1199,invoice,note
112,665,1184,717,1199,and,note
113,730,1184,799,1199,does,note
114,812,1185,856,1199,not,note
115,868,1184,968,1202,require,note
116,980,1184,1223,1202,signature/stamp.,note
