Unnamed: 0,xmin,ymin,xmax,ymax,Object,labels
0,425,60,527,84,BILLION,invoice details
1,539,60,655,84,SHOPPING,invoice details
2,665,60,752,84,CENTRE,invoice details
3,766,60,953,87,(BUTTERWORTH),invoice details
4,967,60,1008,84,SDN,invoice details
5,1019,61,1061,83,BHD,invoice details
6,1072,73,1080,75,-,invoice details
7,1095,60,1271,84,1.99E+11,invoice details
8,1285,60,1427,88,(217237-A),invoice details
9,1440,60,1602,84,BUTTERWORTH,invoice details
10,48,166,116,179,DELIVERY,shipping address
11,121,166,137,179,TO,shipping address
12,146,169,148,179,:,shipping address
13,48,196,107,209,BILLION,shipping address
14,114,196,180,209,SHOPPING,shipping address
15,186,196,235,209,CENTRE,shipping address
16,244,196,351,211,(BUTTERWORTH),shipping address
17,359,196,382,209,SDN,shipping address
18,389,196,413,209,BHD.,shipping address
19,121,227,223,240,2004615168,shipping address
20,48,260,87,275,"7009,",shipping address
21,96,260,120,274,SEK,shipping address
22,121,256,139,282,"2,",shipping address
23,148,260,189,274,JALAN,shipping address
24,194,260,245,274,TELAGA,shipping address
25,250,260,281,275,"AIR,",shipping address
26,290,260,331,274,12200,shipping address
27,48,285,141,299,BUTTERWORTH,shipping address
28,148,285,158,299,S.,shipping address
29,165,286,176,299,P.,shipping address
30,182,286,188,299,U,shipping address
31,48,336,72,349,TEL,shipping address
32,81,339,83,349,:,shipping address
33,92,337,167,350,43235221,shipping address
34,254,336,277,349,FAX,shipping address
35,277,331,291,358,:,shipping address
36,297,335,372,349,43231225,shipping address
37,604,165,670,182,Supplier,issuer address
38,677,166,703,179,No:,issuer address
39,720,165,770,178,A00037,issuer address
40,603,196,628,209,A.W.,issuer address
41,643,196,752,209,FABER-CASTELL,issuer address
42,760,196,781,211,(M),issuer address
43,789,196,813,209,SDN,issuer address
44,819,196,928,211,BHD(040619-U),issuer address
45,603,227,628,241,GST,issuer address
46,635,228,649,241,ID:,issuer address
47,676,227,778,240,2136195072,issuer address
48,604,260,642,275,"NO.9,",issuer address
49,652,260,692,273,JALAN,issuer address
50,698,260,729,275,"TP2,",issuer address
51,736,260,778,273,TAMAN,issuer address
52,785,260,894,274,PERINDUSTRIAN,issuer address
53,901,260,933,274,SIME,issuer address
54,604,286,634,300,"UEP,",issuer address
55,642,285,683,299,47600,issuer address
56,690,285,740,299,SUBANG,issuer address
57,746,286,784,300,"JAYA,",issuer address
58,793,285,864,299,SELANGOR.,issuer address
59,603,336,627,349,TEL,issuer address
60,636,339,638,349,:,issuer address
61,647,335,740,349,03-80246363,issuer address
62,794,336,818,349,FAX,issuer address
63,826,339,828,349,:,issuer address
64,837,335,930,349,03-80247886,issuer address
65,1137,155,1202,195,Invoice,shipping address
66,1208,166,1224,179,To,shipping address
67,1579,165,1695,188,PURCHASE,invoice details
68,1706,165,1779,188,ORDER,invoice details
69,1144,196,1203,209,BILLION,shipping address
70,1209,196,1276,209,SHOPPING,shipping address
71,1282,196,1331,209,CENTRE,shipping address
72,1339,196,1447,211,(BUTTERWORTH),shipping address
73,1455,196,1478,209,SDN,shipping address
74,1484,196,1508,209,BHD,shipping address
75,1579,197,1606,220,PO,invoice details
76,1616,198,1654,221,No:,invoice details
77,1668,193,1830,217,PBLBW103276,invoice details
78,1144,227,1200,241,GSTID:,shipping address
79,1246,227,1348,240,2004615168,shipping address
80,1144,259,1183,274,"7009,",shipping address
81,1192,259,1216,272,SEK,shipping address
82,1217,255,1235,281,"2,",shipping address
83,1244,259,1284,272,JALAN,shipping address
84,1290,259,1341,272,TELAGA,shipping address
85,1346,259,1377,274,"AIR,",shipping address
86,1386,259,1426,272,12200,shipping address
87,1144,284,1237,297,BUTTERWORTH,shipping address
88,1244,284,1254,297,S.,shipping address
89,1261,284,1267,297,P.,shipping address
90,1278,284,1284,297,U,shipping address
91,1143,336,1168,349,TEL,shipping address
92,1169,330,1184,358,:,shipping address
93,1188,335,1263,349,43235221,shipping address
94,1349,336,1373,349,FAX,shipping address
95,1381,339,1383,349,:,shipping address
96,1392,335,1468,349,43231225,shipping address
101,62,385,109,400,TERMS,invoice details
102,116,385,133,400,OF,invoice details
103,142,385,229,400,PURCHASE:,invoice details
104,253,382,261,397,0,invoice details
105,530,383,567,398,Date,invoice details
106,577,387,579,397,:,invoice details
107,589,382,684,397,3/12/2020,invoice details
108,793,382,869,401,Delivery,invoice details
109,876,383,913,398,Date,invoice details
110,922,387,924,397,:,invoice details
111,940,382,1035,397,10/12/2020,invoice details
112,1217,382,1375,398,CancellationDate,invoice details
113,1385,387,1387,398,:,invoice details
114,1407,382,1501,397,23/01/2021,invoice details
115,1869,383,1902,398,Page,invoice details
116,1910,383,1923,396,:1,invoice details
117,1935,382,1950,396,of,invoice details
118,1962,382,1968,396,2,invoice details
119,63,414,108,432,Buyer,invoice details
120,119,418,121,429,:,invoice details
121,136,413,153,428,47,invoice details
122,239,408,334,435,STATIONERY,invoice details
123,561,416,567,423,*,invoice details
124,574,416,630,430,REMARK,invoice details
125,640,413,742,430,:BTS2020\21,invoice details
126,59,458,76,474,NO,invoice details
127,78,454,93,482,|,invoice details
128,107,458,173,474,PRODUCT,
129,426,454,530,482,DESCRIPTION,description
130,783,458,808,474,vOM,
131,865,456,941,484,QUANTITY,quantity
132,983,460,1029,475,F.0.C,
133,1073,461,1110,475,UNIT,product price
134,1116,460,1154,475,COST,product price
135,1205,460,1242,475,DISC,
136,1282,460,1309,475,OLD,
137,1316,460,1353,475,COST,
138,1393,459,1420,474,NET,
139,1427,459,1464,474,UNIT,
140,1470,459,1507,474,COST,
141,1509,454,1525,483,|,
142,1532,460,1579,475,TOTAL,
143,1586,460,1613,474,NET,
144,1620,460,1657,475,COST,
145,1659,454,1679,483,|,
146,1690,458,1736,474,TOTAL,
147,1790,457,1837,472,TOTAL,product net
148,1844,457,1872,472,NET,product net
149,1920,459,1948,473,TAX,product net
150,124,488,160,503,CODE,
151,382,488,447,503,BARCODE,description
152,455,488,462,503,/,description
153,471,488,572,505,(ARTICLENO),description
154,882,485,929,513,ORDER,quantity
155,980,485,1032,513,(Unit),
156,1404,488,1451,503,AFTER,
157,1458,488,1495,503,DISC,
158,1549,489,1596,503,AFTER,
159,1603,489,1640,504,DISC,
160,1702,484,1730,511,TAX,
161,1786,486,1823,501,COST,product net
162,1829,486,1877,501,W/GST,product net
163,53,522,60,539,1,
164,92,523,165,540,52000,
165,187,518,204,550,|,
166,209,523,261,540,CLICK,description
167,268,524,287,540,X7,description
168,297,523,358,543,(CLICK,description
169,365,523,449,543,B/PEN)-4,description
170,457,523,486,540,PCS,description
171,494,524,534,540,BLUE,description
172,760,523,821,540,UNIT/1,
173,907,522,921,539,0,quantity
174,928,522,959,539,0,
175,1036,522,1045,539,0,
176,1106,522,1119,539,2,product price
177,1127,522,1168,539,3300,product price
178,1309,522,1371,539,2.59,
179,1454,522,1467,539,2,
180,1476,522,1516,539,3300,
181,1614,522,1638,539,23,
182,1647,522,1665,539,30,
183,1716,523,1757,540,0,
184,1845,523,1869,540,23,product net
185,1877,523,1896,540,30,product net
186,209,554,346,571,9.56E+12,description
187,355,554,447,573,/(142251),description
188,53,585,60,601,2,
189,92,586,165,603,52001,
190,187,581,204,613,|,
191,209,586,261,603,CLICK,description
192,268,586,287,603,X7,description
193,297,586,358,606,(CLICK,description
194,365,586,481,606,B/PEN)-4PCS,description
195,489,586,541,603,BLACK,description
196,760,586,810,603,UNIT/,
197,897,585,921,602,"10,",quantity
198,928,585,959,602,0,quantity
199,1036,585,1045,602,0,
200,1106,585,1119,602,2,
201,1127,585,1168,602,3300,
202,1310,585,1323,602,2,
203,1331,585,1371,602,5900,
204,1454,585,1467,602,2,
205,1476,585,1516,602,3300,
206,1614,585,1638,602,23,
207,1647,585,1665,602,30,
208,1716,586,1729,603,0,
209,1737,586,1757,603,0,
210,1845,586,1869,603,23,product net
211,1877,586,1896,603,30),product net
212,209,617,347,634,9.56E+12,description
213,355,617,447,636,/(142255),description
214,53,648,60,665,3,
215,92,649,165,666,|0167105,
216,183,644,205,675,|,
217,209,649,239,666,GEL,description
218,247,649,277,665,PEN,description
219,284,649,324,666,TRUE,description
220,333,649,363,666,GEL,description
221,371,649,384,666,0,description
222,393,649,422,666,SMM,description
223,430,649,449,666,BC,description
224,456,649,475,666,OF,description
225,484,649,524,666,2PCS,description
226,532,649,583,666,BLACK,description
227,760,645,821,675,UNIT/1,
228,907,648,959,665,0,quantity
229,1036,648,1045,665,0,
230,1106,648,1119,665,2,product price
231,1127,648,1168,665,5200,product price
232,1309,649,1323,665,4,
233,1330,648,1371,665,0,
234,1454,648,1467,665,2,
235,1476,648,1516,665,5200,
236,1614,648,1638,665,25,
237,1646,648,1665,665,20,
238,1716,649,1757,666,0,
239,1845,649,1869,666,25,product net
240,1877,649,1896,666,20,product net
241,209,680,347,697,9.56E+12,description
242,355,680,447,699,/(243502),description
243,52,711,61,728,4,
244,92,712,165,729,10167106,
245,186,707,203,739,|,
246,209,712,239,729,GEL,description
247,247,712,277,729,PEN,description
248,284,712,324,729,TRUE,description
249,333,712,363,729,GEL,description
250,371,712,384,729,0,description
251,393,712,422,729,5MM,description
252,430,712,449,729,BC,description
253,456,712,475,729,OF,description
254,484,712,524,729,2PCS,description
255,532,713,572,729,BLUE,description
256,760,708,808,739,UNIT/,
257,907,711,921,728,0,quantity
258,928,711,959,728,0,quantity
259,1036,711,1045,728,0,
260,1106,711,1168,728,2.52,product price
261,1309,711,1371,728,2.52,
262,1454,711,1467,728,2,
263,1476,711,1516,728,5200,
264,1614,711,1638,728,"25,",
265,1646,711,1665,728,20,
266,1716,712,1757,729,0,
267,1845,712,1869,729,25,product net
268,1877,712,1896,729,20,product net
269,209,743,347,760,9.56E+12,description
270,355,743,447,762,/(243501),description
271,53,775,60,791,5,
272,92,775,165,792,167107,
273,184,771,204,801,|,
274,209,775,239,792,GEL,description
275,247,775,277,791,PEN,description
