Unnamed: 0,xmin,ymin,xmax,ymax,Object,labels
2,60,63,130,76,Purchase,issuer address
3,137,62,180,76,Order,issuer address
4,185,63,235,76,Issued,issuer address
5,239,63,257,80,by,issuer address
6,862,63,933,76,Purchase,issuer address
7,939,63,972,76,from,issuer address
8,978,62,1040,80,Supplier,invoice details
9,1665,62,1728,80,Supplier,invoice details
10,1732,62,1771,80,Copy,invoice details
11,1877,63,1906,80,Pag,invoice details
12,1924,63,1928,76,1,invoice details
13,1947,63,1962,76,of,invoice details
14,1981,63,1986,76,1,invoice details
15,59,91,83,104,MY,issuer address
16,90,91,137,104,HERO,issuer address
17,144,91,274,104,HYPERMARKET,issuer address
18,279,91,313,104,SDN,issuer address
19,321,91,355,104,BHD,issuer address
20,861,91,1041,104,A.W.FABER-CASTELL,issuer address
21,1047,91,1071,108,(M),issuer address
22,1077,91,1111,104,SDN,issuer address
23,1119,91,1153,104,BHD,issuer address
24,76,127,96,141,Co,issuer address
25,193,127,264,141,676676-T,issuer address
26,878,127,899,141,Co,issuer address
27,906,127,934,144,Reg,issuer address
28,942,127,966,141,No:,issuer address
29,995,127,1058,141,40619-U,issuer address
30,1734,122,1841,141,Purchase,invoice details
31,1850,121,1915,141,Order,invoice details
32,74,157,166,173,"G-02,LOT.3,",issuer address
33,173,157,224,171,JALAN,issuer address
34,231,157,336,171,HARMONIUM,issuer address
35,342,157,378,173,"24/1,",issuer address
36,879,157,903,171,NO,issuer address
37,909,158,921,173,"9,",issuer address
38,927,157,956,171,JLN,issuer address
39,962,157,992,171,"TP2,",issuer address
40,1003,157,1061,171,TAMAN,issuer address
41,1069,157,1205,171,PERINDUSTRIAN,issuer address
42,1212,157,1252,171,SIME,issuer address
43,1259,157,1296,171,UEP.,issuer address
44,73,179,131,192,TAMAN,issuer address
45,138,178,183,192,DESA,issuer address
46,188,179,261,193,"TEBRAU,",issuer address
47,878,179,924,192,47600,issuer address
48,931,178,1001,192,SUBANG,issuer address
49,1007,179,1049,192,JAYA,issuer address
50,1693,186,1696,188,7,issuer address
51,1839,186,1842,188,7,issuer address
52,74,200,119,213,81100,issuer address
53,125,199,184,213,JOHOR,issuer address
54,190,199,252,215,"BAHRU,",issuer address
55,879,185,967,223,SELANGOR,issuer address
56,1679,186,1731,219,Kindy,note
57,1739,186,1808,201,Present,note
58,1814,186,1854,201,This,note
59,1861,185,1887,201,PO,note
60,1894,189,1939,205,upon,note
61,73,220,132,234,JOHOR,issuer address
62,138,221,194,234,DARUL,issuer address
63,200,221,261,234,TAKZIM,issuer address
64,1679,217,1753,236,Delivery,note
65,1760,216,1780,232,Of,note
66,1787,216,1847,232,Goods,note
67,76,235,94,272,Tel,issuer address
68,347,235,377,272,Fax:,issuer address
69,878,249,905,262,Tel:,issuer address
70,1149,249,1180,262,Fax:,issuer address
71,1199,249,1299,262,03-80247886,issuer address
72,1548,248,1570,262,PO,invoice details
73,1577,249,1620,262,Refno,invoice details
74,1626,253,1641,262,->,invoice details
83,74,285,149,299,DeliverTo,shipping address
84,187,285,230,298, TDT-,shipping address
85,650,285,688,299,Term,invoice details
86,706,285,783,299,30R60+10,invoice details
87,878,285,940,302,Supplier,issuer address
88,946,285,985,299,Code,issuer address
89,1002,285,1229,299,AWO01-A.W.FABER-CASTELL,issuer address
90,1235,285,1258,302,(M),issuer address
91,1265,285,1298,299,SDN,issuer address
92,1306,285,1339,298,BHD,issuer address
93,188,306,212,319,MY,shipping address
94,219,306,266,319,HERO,shipping address
95,273,306,401,319,HYPERMARKET,shipping address
96,406,306,440,319,SDN,shipping address
97,448,306,481,319,BHD,shipping address
98,488,306,551,323,(TAMAN,shipping address
99,558,306,603,319,DESA,shipping address
100,1683,305,1854,323,TDTPO20091348,shipping address
101,187,327,260,344,TEBRAU),shipping address
102,66,348,135,373,Remark,invoice details
103,879,352,902,365,PO,invoice details
104,908,352,942,365,Date,invoice details
105,978,352,1043,365,23/09/20,invoice details
106,1049,352,1083,365,Wed,invoice details
107,1147,352,1198,365,Deliver,invoice details
108,1204,355,1221,365,on,invoice details
109,1238,352,1303,365,26/09/20,invoice details
110,1310,352,1334,365,Sat,invoice details
