Unnamed: 0,xmin,ymin,xmax,ymax,Object,labels,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,1542,62,1918,105,INVOICE,invoice details,,,
1,1726,124,1748,141,#,invoice details,,,
2,1761,124,1909,141,36-2018,invoice details,,,
3,132,216,171,245,G,invoice details,,,
4,203,216,228,244,L,invoice details,,,
5,250,214,307,247,&,invoice details,,,
6,335,216,367,244,B,invoice details,,,
7,392,216,433,244,A,invoice details,,,
8,462,216,488,244,L,invoice details,,,
9,1461,221,1535,246,Date:,invoice details,,,
10,1706,221,1757,247,Apr,invoice details,,,
11,1767,225,1810,242,"30,",invoice details,,,
12,1823,225,1895,239,2018,invoice details,,,
14,1294,268,1422,286,Payment,invoice details,,,
15,1433,268,1535,282,Terms:,invoice details,,,
16,1775,268,1898,283,Transfer,invoice details,,,
17,165,284,209,299,KN,issuer address,,,
18,222,284,468,302,"Global,Pakistan",issuer address,,,
19,164,309,248,324,Office,issuer address,,,
20,260,310,385,326,"29-A,3rd",issuer address,,,
21,400,310,472,324,Floor,issuer address,,,
22,483,310,550,324,Twin,issuer address,,,
23,563,309,618,328,City,issuer address,,,
24,631,310,711,324,Plaza,issuer address,,,
25,1389,311,1446,326,Due,invoice details,,,
26,1460,311,1535,326,Date:,invoice details,,,
27,1706,311,1757,330,Apr,invoice details,,,
28,1767,312,1810,328,"30,",invoice details,,,
29,1823,312,1895,326,2018,invoice details,,,
30,166,335,200,350,I-8,issuer address,,,
31,214,335,319,350,Markaz,issuer address,,,
32,333,335,490,350,Islamabad.,issuer address,,,
33,164,355,391,386,"44000,Pakistan",issuer address,,,
34,1299,358,1443,375,Balance,invoice details,,,
35,1457,358,1535,375,Due:,invoice details,,,
36,1772,359,1823,375,RM,invoice details,,,
37,1832,358,1897,375,O.0o0,invoice details,,,
38,166,414,205,428,Bill,shipping address,,,
39,217,414,262,428,To:,shipping address,,,
40,164,446,269,465,Syslab,shipping address,,,
41,280,447,493,465,Technologies,shipping address,,,
42,505,446,565,461,Sdn,shipping address,,,
43,579,447,639,461,Bhd,shipping address,,,
44,164,472,210,487,4-Mar,shipping address,,,
45,223,472,241,486,B,shipping address,,,
46,255,472,390,487,Incubator,shipping address,,,
47,401,472,425,489,"3,",shipping address,,,
48,164,497,334,516,Technology,shipping address,,,
49,347,497,413,512,Park,shipping address,,,
50,425,497,496,512,Bukit,shipping address,,,
51,506,497,561,512,Jalil,shipping address,,,
52,575,509,579,514,",",shipping address,,,
53,165,523,460,541,"Kualalumpur,",shipping address,,,
54,164,548,272,563,57000,shipping address,,,
55,165,573,349,592,Malaysia,shipping address,,,
56,153,672,212,686,Item,description,,,
57,1231,671,1352,690,Quantity,quantity,,,
58,1575,667,1640,694,Rate,product price,,,
59,1783,672,1896,686,Amount,product net,,,
60,150,722,219,737,Web,description,,,
61,231,722,366,737,Services,description,,,
62,1233,723,1241,736,1,quantity,,,
63,1443,722,1490,736,RM,product price,,,
64,1498,723,1640,739,"20,000.00",product price,,,
65,1700,722,1747,736,RM,product net,,,
66,1755,723,1897,739,"20,000.00",product net,,,
67,1406,846,1535,875,Subtotal:,billing info,,,
68,1700,850,1747,864,RM,billing info,,,
69,1755,851,1897,867,"20,000.00",billing info,,,
70,1454,890,1535,917,Total:,billing info,,,
71,1700,893,1747,908,RM,billing info,,,
72,1755,894,1897,910,"20,000.00",billing info,,,
73,1336,937,1449,951,Amount,billing info,,,
74,1462,937,1535,951,Paid:,billing info,,,
75,164,1044,265,1059,Terms:,note,,,
76,165,1077,327,1095,Beneficiary,note,,,
77,339,1077,419,1091,bears,note,,,
78,430,1077,475,1091,the,note,,,
79,489,1077,633,1095,Exchange,note,,,
80,646,1077,713,1091,Rate,note,,,
81,724,1077,893,1091,differences.,note,,,
82,164,1103,225,1118,This,note,,,
83,237,1103,258,1118,is,note,,,
84,270,1105,372,1122,system,note,,,
85,385,1103,539,1118,Generated,note,,,
86,552,1103,653,1118,invoice,note,,,
87,665,1103,717,1118,and,note,,,
88,729,1103,799,1118,does,note,,,
89,812,1105,856,1118,not,note,,,
90,868,1103,968,1122,require,note,,,
91,981,1103,1223,1122,signature/stamp.,note,,,
