Unnamed: 0,xmin,ymin,xmax,ymax,Object,labels
0,120,146,189,172,7,invoice details
1,193,142,267,184,46,invoice details
2,270,142,319,184,2,invoice details
3,331,146,574,172,RP,invoice details
4,582,146,603,161,?,invoice details
5,468,170,498,228,GQ,invoice details
6,358,200,448,213,?_d,invoice details
7,76,241,223,253,MALAYSIA,shipping address
8,234,241,345,253,DIGITAL,shipping address
9,356,241,501,253,ECONOMY,shipping address
10,510,241,722,253,CORPORATION,shipping address
11,732,241,790,253,SDN,shipping address
12,802,241,860,253,BHD,shipping address
13,870,241,1012,256,(389346-D),shipping address
14,75,261,167,276,eXpats,shipping address
15,177,260,277,273,Service,shipping address
16,287,260,375,273,Centre,shipping address
17,76,280,138,292,Suite,shipping address
18,148,280,192,294,"2.1,",shipping address
19,205,280,269,292,Level,shipping address
20,280,280,300,294,"2,",shipping address
21,313,280,367,292,East,shipping address
22,377,280,447,295,Wing.,shipping address
23,75,300,136,311,3539,shipping address
24,148,299,223,311,Mercu,shipping address
25,235,299,297,312,MQA,shipping address
26,308,299,418,315,(formerly,shipping address
27,428,299,507,311,known,shipping address
28,518,302,546,311,as,shipping address
29,556,299,608,311,Axis,shipping address
30,620,299,723,315,"Eureka),",shipping address
31,75,319,140,331,Jalan,shipping address
32,151,319,277,331,Teknokrat,shipping address
33,287,319,307,333,"7,",shipping address
34,318,319,395,331,63000,shipping address
35,406,319,539,334,"Cyberjaya,",shipping address
36,76,338,194,353,"Selangor,",shipping address
37,206,338,317,353,Malaysia,shipping address
38,75,358,112,370,Tel,shipping address
39,125,361,128,369,:,shipping address
40,139,358,241,370,15-Mar,shipping address
41,251,358,400,370,3106/3157,shipping address
42,77,377,128,389,Fax:,shipping address
43,139,377,241,389,15-Mar,shipping address
44,251,377,313,389,3008,shipping address
45,866,158,963,178,TAX,invoice details
46,981,158,1180,179,INVOICE,invoice details
49,1486,270,1543,283,GST,invoice details
50,1553,270,1593,283,NO,invoice details
51,1485,296,1541,308,TAX,invoice details
52,1552,296,1666,308,INVOICE,invoice details
53,1677,296,1717,308,NO,invoice details
54,1487,322,1561,334,DATE,invoice details
55,1487,348,1610,359,REPRINT,invoice details
56,1774,271,1962,283,714981376,invoice details
57,1774,296,1951,309,00530278-HQ,invoice details
58,1775,322,1804,334,19,invoice details
59,1813,322,1869,337,July,invoice details
60,1878,322,1940,334,2018,invoice details
61,1774,348,1804,360,26,invoice details
62,1813,348,1869,363,July,invoice details
63,1878,348,1940,360,2019,invoice details
65,111,422,225,434,Received,issuer address
66,237,422,307,434,From:,issuer address
67,109,447,222,459,SYSLAB,issuer address
68,232,447,459,459,TECHNOLOGIES,issuer address
69,469,447,534,459,SDN.,issuer address
70,547,447,612,459,BHD.,issuer address
71,623,447,768,462,(N-S00133),issuer address
72,109,467,167,479,3-4B,issuer address
73,179,467,343,479,INCUBATOR,issuer address
74,353,467,367,479,3,issuer address
75,109,486,308,498,TECHNOLOGY,issuer address
76,318,486,393,498,PARK,issuer address
77,404,486,544,498,MALAYSIA,issuer address
78,110,506,201,518,KUALA,issuer address
79,212,506,328,518,LUMPUR,issuer address
80,110,525,180,537,Kuala,issuer address
81,191,525,285,540,Lumpur,issuer address
82,109,551,198,563,TEL:03,issuer address
83,209,551,270,563,8996,issuer address
84,281,551,342,563,708,issuer address
85,111,576,202,588,FAX:03,issuer address
86,212,577,273,588,8996,issuer address
87,284,577,345,588,708,issuer address
88,112,642,302,654,APPLICATION,
89,314,642,415,654,DETAIL,
103,118,673,158,685,NO],
104,199,673,273,685,APPL,
105,283,673,324,685,NO,
106,463,673,544,685,NAME,
107,702,673,776,685,APPL,
108,785,673,858,685,TYPE,
109,954,673,1028,685,APPL,
110,1039,673,1096,685,FOR,
111,1145,673,1292,685,DURATION,
112,1480,673,1669,685,|NATIONALITY|,
113,1693,673,1759,685,*TAX,
114,1765,663,1797,695,|,
115,1794,673,1918,685,AMOUNT,product net
116,1367,692,1408,704,NO,
117,1686,692,1766,704,CODE,
118,1826,692,1887,709,(RM),
119,132,715,139,726,1,
120,170,715,352,727,41882-663395,
121,405,715,488,726,AWAN,
122,499,715,600,726,AHMED,
123,660,710,902,734,EP:-EMPLOYMENT,
124,972,711,1078,734,Renewal,
125,1203,715,1233,726,24,
126,1314,715,1459,727,AZ1601662,
127,1520,711,1631,734,Pakistani,
128,1707,714,1744,727,SR,
129,1824,715,1932,729,"2,000.00",product net
130,454,724,554,756,NAWAZ,
131,745,724,817,756,PASS.,
132,969,734,1079,751,Approval,
133,130,757,144,768,2,
134,170,757,352,769,|41882-663394,
135,362,757,463,768,|AHMED,
136,475,757,643,769,MUHAMMAD],
