Unnamed: 0,xmin,ymin,xmax,ymax,Object,labels
0,120,142,190,176,Mi,invoice details
1,189,142,267,176,46,invoice details
2,272,146,422,172,ft,invoice details
3,383,142,576,176,"""p=,",invoice details
4,105,175,448,213,1Vaae_2?,invoice details
5,397,142,559,230,=-<_,invoice details
6,925,158,1123,179,INVOICE,invoice details
7,76,241,223,253,MALAYSIA,shipping address
8,234,241,345,253,DIGITAL,shipping address
9,356,241,501,253,ECONOMY,shipping address
10,510,241,722,253,CORPORATION,shipping address
11,732,241,790,253,SDN,shipping address
12,802,241,860,253,BHD,shipping address
13,870,241,1012,256,(389346-D),shipping address
14,75,261,167,276,eXpats,shipping address
15,177,260,277,273,Service,shipping address
16,287,260,375,273,Centre,shipping address
17,76,280,138,292,Suite,shipping address
18,148,280,192,294,"2.1,",shipping address
19,205,280,269,292,Level,shipping address
20,280,280,300,294,"2,",shipping address
21,313,280,367,292,East,shipping address
22,377,280,447,295,Wing.,shipping address
23,75,300,136,311,3539,shipping address
24,148,299,223,311,Mercu,shipping address
25,235,299,297,312,MQA,shipping address
26,308,299,418,315,(formerly,shipping address
27,428,299,507,311,known,shipping address
28,518,302,546,311,as,shipping address
29,556,299,608,311,Axis,shipping address
30,620,299,723,315,"Eureka),",shipping address
31,1477,270,1531,283,SST,invoice details
32,1541,270,1581,283,NO,invoice details
33,1666,274,1670,282,2,invoice details
34,1695,271,1962,283,W24-1809-32000024,invoice details
35,1477,296,1592,308,INVOICE,invoice details
36,1603,296,1643,308,NO,invoice details
37,1666,300,1670,308,:,invoice details
38,1695,296,1873,309,00593323-HQ,invoice details
51,75,319,140,331,Jalan,shipping address
52,151,319,277,331,Teknokrat,shipping address
53,287,319,307,333,"7,",shipping address
54,318,319,395,331,63000,shipping address
55,406,319,539,334,"Cyberjaya,",shipping address
56,1478,311,1552,343,DATE,invoice details
57,1666,325,1670,334,:,invoice details
58,1696,322,1725,334,25,invoice details
59,1736,322,1874,334,November,invoice details
60,1883,322,1944,334,2019,invoice details
61,76,338,194,353,"Selangor,",shipping address
62,206,338,317,353,Malaysia,shipping address
64,75,358,112,370,Tel,shipping address
65,125,361,128,369,:,shipping address
66,139,358,241,370,15-Mar,shipping address
67,251,358,400,370,3106/3157,shipping address
68,1478,344,1601,367,REPRINT,invoice details
69,1666,357,1670,359,:,invoice details
70,1695,348,1725,360,OS,invoice details
71,1736,348,1874,360,November,invoice details
72,1883,348,1944,360,2020,invoice details
73,77,377,128,389,Fax:,shipping address
74,139,377,241,389,15-Mar,shipping address
75,251,377,313,389,3008,shipping address
76,111,422,225,434,Received,issuer address
77,237,422,307,434,From:,issuer address
78,109,447,222,459,SYSLAB,issuer address
79,232,447,459,459,TECHNOLOGIES,issuer address
80,469,447,534,459,SDN.,issuer address
81,547,447,612,459,BHD.,issuer address
82,623,447,768,462,(N-S00133),issuer address
83,110,467,147,479,Lot,issuer address
84,158,467,198,479,No.,issuer address
85,209,467,318,481,"3A-2A-2,",issuer address
86,330,467,363,479,3A,issuer address
87,374,467,436,479,Floor,issuer address
88,109,486,187,498,Tower,issuer address
89,196,487,210,498,2,issuer address
90,220,486,246,500,@,issuer address
91,258,486,339,500,"PFCC,",issuer address
92,350,486,416,498,Jalan,issuer address
93,428,486,499,498,Puteri,issuer address
94,511,486,554,500,"1/2,",issuer address
95,110,506,200,518,Bandar,issuer address
96,211,506,288,520,"Puteri,",issuer address
97,301,506,409,521,Puchong,issuer address
98,109,525,222,540,Selangor,issuer address
99,109,551,199,563,TEL:03,issuer address
100,209,551,270,563,8600,issuer address
101,281,551,342,563,7156,issuer address
102,111,576,170,588,FAX:,issuer address
103,112,642,302,654,APPLICATION,
104,314,642,415,654,DETAIL,
105,118,673,159,685,NO|,
106,199,673,274,685,APPL,
107,284,673,325,685,NO,
108,488,673,569,685,NAME,
109,751,673,825,685,APPL,
110,834,673,907,685,TYPE,
111,1017,673,1091,685,APPL,
112,1102,673,1159,685,FOR,
113,1224,673,1371,685,DURATION,
114,1366,663,1383,695,|,
115,1392,673,1547,685,PASSPORT,
116,1566,673,1755,685,|[NATIONALITY|,
117,1787,673,1911,685,AMOUNT,product net
118,1450,692,1489,704,NO,
119,1818,692,1879,709,(RM),product net
120,133,715,140,726,1,
121,170,715,353,727,i41882-805639,
122,435,715,522,727,Ahmed,
123,535,715,622,727,Hannia,
124,712,715,747,726,DP,
125,760,718,763,726,:,
126,775,715,948,726,DEPENDANT,
127,939,711,967,734,|,
128,975,715,1081,727,Renewal,
129,1092,715,1201,730,Approval,
130,1284,715,1312,726,17,
131,1398,714,1540,727,SJ1166202,
132,1592,711,1716,734,Pakistani,
133,1848,715,1932,727,500,product net
134,794,734,866,746,PASS,
135,131,757,144,768,2,
136,170,757,353,769,|41882-805638,
137,444,757,531,769,Ahmed,
138,542,756,613,772,Saigqa,
139,712,757,747,768,DP,
140,760,760,763,768,:,
141,775,757,948,768,DEPENDANT,
142,939,753,967,776,|,
143,975,757,1081,769,Renewal,
144,1092,757,1202,772,Approval,
145,1284,757,1312,768,17,
146,1394,752,1543,776,AQ3996893,
147,1592,753,1716,776,Pakistani,
148,1847,757,1932,769,500,product net
149,794,776,866,788,PASS,
150,131,799,144,811,3,
151,170,799,353,811,[41882-805637,
152,407,798,491,811,Nawaz,
153,502,798,649,811,Muhammad,
154,712,798,747,810,DP,
155,760,802,763,810,:,
156,775,798,948,810,DEPENDANT,
157,940,794,968,818,|,
158,975,798,1081,811,Renewal,
159,1092,798,1202,814,Approval,
160,1284,799,1312,810,17,
161,1398,798,1542,811,FE9617562,
162,1604,794,1716,818,Pakistani,
163,1847,799,1932,811,500,product net
164,487,808,570,840,Mahad,
165,794,818,866,830,PASS,
166,1587,830,1738,862,SUBTOTAL,billing info
167,1824,841,1932,855,"1,500.00",billing info
168,1515,863,1615,875,Service,billing info
169,1624,863,1672,875,Tax,billing info
170,1682,863,1740,880,-6%,billing info
171,1863,863,1932,875,90,billing info
172,1513,885,1607,898,TOTAL,billing info
173,1617,885,1741,898,AMOUNT,billing info
174,1824,886,1932,900,"1,590.00",billing info
175,113,925,250,937,PAYMENT,
176,260,925,388,938,DETAILS:,
177,180,956,301,968,METHOD,
178,311,956,349,968,OF,
179,360,956,497,968,PAYMENT,
180,634,956,714,968,BANK,
181,724,956,805,968,NAME,
182,1043,946,1166,978,NUMBER,
183,1435,946,1509,978,DATE,
184,1674,956,1798,968,AMOUNT,
185,1808,956,1869,973,(RM),
187,242,978,346,991,CREDIT,
188,356,978,434,991,CARD,
189,939,979,1185,991,MDxXO000000000001,
190,1192,979,1269,991,55580,
191,1401,979,1542,991,25/11/2019,
193,1825,979,1932,993,"1,590.00",
196,104,1014,229,1029,Malaysian,note
197,241,1014,334,1029,Ringgit:,note
198,345,1014,404,1026,ONE,note
199,414,1014,572,1026,THOUSAND,note
200,584,1014,643,1026,FIVE,note
201,656,1014,794,1026,HUNDRED,note
202,806,1014,908,1026,NINETY,note
203,917,1014,993,1026,ONLY,note
205,71,1072,155,1084,Please,note
206,166,1072,230,1084,Note:,note
207,69,1091,121,1103,This,note
208,132,1091,215,1106,receipt,note
209,226,1091,244,1103,is,note
210,254,1092,372,1106,computer,note
211,381,1091,507,1106,generated,note
212,518,1091,562,1103,and,note
213,574,1094,602,1103,no,note
214,613,1091,728,1106,signature,note
215,739,1091,757,1103,is,note
216,768,1091,876,1106,required.,note
217,69,1110,121,1122,This,note
218,132,1110,215,1126,receipt,note
219,226,1110,244,1122,is,note
220,254,1110,304,1126,only,note
221,314,1110,370,1122,valid,note
222,381,1110,470,1126,subject,note
223,479,1111,501,1122,to,note
224,512,1110,571,1122,bank,note
225,581,1110,703,1122,clearance,note
226,713,1110,735,1122,of,note
227,744,1110,782,1122,the,note
228,793,1111,900,1126,payment,note
229,910,1110,985,1122,made.,note
