Unnamed: 0,xmin,ymin,xmax,ymax,Object,labels
0,223,171,279,182,PDT,invoice details
1,286,171,410,182,Reference,invoice details
2,420,171,462,182,No.,invoice details
3,224,222,280,237,Page,invoice details
4,638,222,700,233,2o0f3,invoice details
5,944,93,1092,107,Purchase,invoice details
6,1104,93,1201,107,Order,invoice details
7,1068,142,1176,153,Purchase,invoice details
8,1186,142,1260,153,Order,invoice details
9,1266,142,1307,153,No.,invoice details
10,1068,164,1176,175,Purchase,invoice details
11,1186,164,1260,175,Order,invoice details
12,1266,164,1323,175,Date,invoice details
13,1068,193,1156,204,Printed,invoice details
14,1162,196,1191,204,on,invoice details
15,756,208,894,217,S120009459,invoice details
16,1070,222,1182,237,Expected,invoice details
17,1190,222,1285,233,Receive,invoice details
18,1296,222,1352,233,Date,invoice details
19,1362,222,1385,233,&,invoice details
20,1393,222,1462,233,Time:,invoice details
21,1493,142,1584,153,10094-6,invoice details
22,1600,142,1715,153,120009459,invoice details
23,1489,164,1619,175,9/12/2020,invoice details
24,1494,193,1619,204,10/12/2020,invoice details
25,1627,193,1724,204,8:19:17,invoice details
26,1489,221,1619,233,20/12/2020,invoice details
27,1632,222,1724,233,18:00:00,invoice details
29,231,244,322,255,Vendor,issuer address
33,1078,244,1170,259,Ship-To,shipping address
34,1180,244,1284,255,Location,shipping address
37,224,266,295,277,4516,issuer address
38,305,266,415,277,AWFAO2,issuer address
39,225,288,508,299,A.W.FABER-CASTELL,issuer address
40,515,288,557,302,(MD),issuer address
41,566,288,622,299,SDN,issuer address
42,630,288,689,299,BHD,issuer address
43,226,310,281,322,NO.9,issuer address
44,290,320,295,324,",",issuer address
45,303,310,390,322,JALAN,issuer address
46,400,310,432,322,TP,issuer address
47,440,310,453,322,2,issuer address
48,224,332,324,344,TAMAN,issuer address
49,334,332,555,344,PERINDUSTRLIAN,issuer address
50,566,332,633,344,SIME,issuer address
51,642,333,698,346,"UEP,",issuer address
52,1075,266,1142,277,10094,shipping address
53,1150,266,1191,277,KK,shipping address
54,1070,288,1174,299,Beonsave,shipping address
55,1183,288,1238,299,Cash,shipping address
56,1246,288,1268,299,&,shipping address
57,1275,288,1339,303,Carry,shipping address
58,1346,288,1406,302,(KK),shipping address
59,1416,288,1458,299,Sdn,shipping address
60,1465,288,1511,299,Bhd,shipping address
61,1070,311,1108,322,Lot,shipping address
62,1115,311,1149,322,PT,shipping address
63,1158,310,1212,322,1640,shipping address
64,1220,310,1243,322,&,shipping address
65,1250,311,1283,322,PT,shipping address
66,1293,310,1447,325,"1685,Seksyen",shipping address
67,1455,310,1489,323,"54,",shipping address
68,1498,310,1553,322,Jalan,shipping address
69,1560,310,1611,325,Raja,shipping address
70,1620,311,1743,325,Perempuan,shipping address
71,1748,310,1822,322,Zainab,shipping address
72,1832,311,1854,324,"I,",shipping address
73,223,354,295,366,47600,issuer address
74,305,354,419,366,SUBANG,issuer address
75,427,354,500,366,JAYA,issuer address
76,507,354,658,366,SELANGOR,issuer address
77,663,355,758,366,DARUL,issuer address
78,764,354,856,366,LLISAN,issuer address
79,224,376,260,388,‘Vel,issuer address
80,268,380,271,388,:,issuer address
81,279,377,433,388,03-56334718,issuer address
82,442,369,524,397,563347,issuer address
83,537,377,573,388,ax,issuer address
84,582,380,585,388,:,issuer address
85,592,377,745,388,O3-56341231,issuer address
86,1070,376,1106,388,‘Tel,shipping address
87,1114,380,1117,388,:,shipping address
88,1124,377,1221,388,Mar-62,shipping address
89,1230,376,1309,388,7053/4,shipping address
90,1380,377,1423,388,liax,shipping address
91,1431,380,1434,388,:,shipping address
92,1442,377,1538,388,Mar-62,shipping address
93,1548,377,1605,388,7064,shipping address
94,1070,332,1151,344,Mukim,shipping address
95,1155,332,1231,346,"Kenali,",shipping address
96,1240,332,1329,347,Kubang,shipping address
97,1334,332,1414,346,"Kerian,",shipping address
98,1427,332,1495,344,16150,shipping address
99,1503,333,1558,344,Kota,shipping address
100,1567,332,1657,346,"Bharu,K",shipping address
101,1662,326,1740,354,clantan,shipping address
106,225,399,307,410,E-muil:,issuer address
107,1072,399,1153,410,E-mail:,shipping address
108,231,422,271,430,item,
109,476,409,589,440,Description,description
110,1206,421,1246,430,Unit,
111,1335,422,1395,430,Order,
112,1404,422,1450,430,Pack,
113,1547,409,1590,440,Total,quantity
114,1663,421,1703,430,Unie,product price
115,1711,421,1762,430,Price],product price
116,231,435,313,456,Barcodc,
117,1090,435,1175,456,Capacity,
118,1362,440,1404,449,Irece,
119,1413,440,1453,449,Unit],
120,1551,436,1592,458,"Qvy,|",quantity
121,1713,435,1762,457,GRIND},product price
122,1871,440,1920,450,cRND|,product net
123,225,459,353,471,543000168,
124,1249,459,1296,471,10.0],
125,1417,459,1452,471,2,
126,577,469,584,480,Gi,
127,749,469,761,480,2,
128,916,479,920,480,3,
129,1572,479,1575,480,-,
130,1674,459,1703,490,2,
131,1871,479,1889,480,5,
132,232,459,417,494,9.55568E+12,
133,469,469,551,483,(PS)FC,description
134,564,469,647,480,GRIPX,description
135,654,469,741,480,0.5MM,description
136,763,469,891,480,2BL/BK/RD,description
137,897,469,955,480,B3FI,description
138,1231,479,1300,490,ond,
139,1417,479,1451,490,oOo,
140,1542,469,1592,480,20.0],quantity
141,1705,459,1762,490,7500],product price
142,1856,469,1920,480,55.00],product net
143,470,505,554,517,540895,description
144,225,533,353,545,543000169,
