,xmin,ymin,xmax,ymax,Object,labels
2,60,63,130,76,Purchase,Issuer Address
3,137,62,180,76,Order,Issuer Address
4,185,63,235,76,Issued,Issuer Address
5,239,63,257,80,by,Issuer Address
6,862,63,933,76,Purchase,Vendor Address
7,939,63,972,76,from,Vendor Address
8,978,62,1040,80,Supplier,Vendor Address
9,1665,62,1728,80,Supplier,
10,1732,62,1771,80,Copy,
11,1877,63,1906,80,Pag,
12,1924,63,1928,76,1,
13,1947,63,1962,76,of,
14,1981,63,1986,76,1,
15,59,91,83,104,MY,Issuer Address
16,90,91,137,104,HERO,Issuer Address
17,144,91,274,104,HYPERMARKET,Issuer Address
18,279,91,313,104,SDN,Issuer Address
19,321,91,355,104,BHD,Issuer Address
20,861,91,1041,104,A.W.FABER-CASTELL,Vendor Address
21,1047,91,1071,108,(M),Vendor Address
22,1077,91,1111,104,SDN,Vendor Address
23,1119,91,1153,104,BHD,Vendor Address
24,76,127,96,141,Co,Issuer Address
25,193,127,264,141,676676-T,Issuer Address
26,878,127,899,141,Co,Vendor Address
27,906,127,934,144,Reg,Vendor Address
28,942,127,966,141,No:,Vendor Address
29,995,127,1058,141,40619-U,Vendor Address
30,1734,122,1841,141,Purchase,
31,1850,121,1915,141,Order,
32,74,157,166,173,"G-02,LOT.3,",Issuer Address
33,173,157,224,171,JALAN,Issuer Address
34,231,157,336,171,HARMONIUM,Issuer Address
35,342,157,378,173,"24/1,",Issuer Address
36,879,157,903,171,NO,Vendor Address
37,909,158,921,173,"9,",Vendor Address
38,927,157,956,171,JLN,Vendor Address
39,962,157,992,171,"TP2,",Vendor Address
40,1003,157,1061,171,TAMAN,Vendor Address
41,1069,157,1205,171,PERINDUSTRIAN,Vendor Address
42,1212,157,1252,171,SIME,Vendor Address
43,1259,157,1296,171,UEP.,Vendor Address
44,73,179,131,192,TAMAN,Issuer Address
45,138,178,183,192,DESA,Issuer Address
46,188,179,261,193,"TEBRAU,",Issuer Address
47,878,179,924,192,47600,Vendor Address
48,931,178,1001,192,SUBANG,Vendor Address
49,1007,179,1049,192,JAYA,Vendor Address
50,1693,186,1696,188,7,
51,1839,186,1842,188,7,
52,74,200,119,213,81100,Issuer Address
53,125,199,184,213,JOHOR,Issuer Address
54,190,199,252,215,"BAHRU,",Issuer Address
55,879,185,967,223,SELANGOR,Vendor Address
56,1679,186,1731,219,Kindy,
57,1739,186,1808,201,Present,
58,1814,186,1854,201,This,
59,1861,185,1887,201,PO,
60,1894,189,1939,205,upon,
61,73,220,132,234,JOHOR,Issuer Address
62,138,221,194,234,DARUL,Issuer Address
63,200,221,261,234,TAKZIM,Issuer Address
64,1679,217,1753,236,Delivery,
65,1760,216,1780,232,Of,
66,1787,216,1847,232,Goods,
67,76,235,94,272,Tel,Issuer Address
68,347,235,377,272,Fax:,Issuer Address
69,878,249,905,262,Tel:,Vendor Address
70,1149,249,1180,262,Fax:,Vendor Address
71,1199,249,1299,262,03-80247886,Vendor Address
72,1548,248,1570,262,PO,
73,1577,249,1620,262,Refno,
74,1626,253,1641,262,->,
75,1665,235,1695,280,ll,
76,1703,239,1716,276,l,
77,1722,239,1734,276,ll,
78,1740,239,1742,276,|,
79,1748,239,1760,276,ll,
80,1766,235,1794,280,Mill,
81,1948,239,1952,276,|,
82,1942,235,1974,280,ll,
83,74,285,149,299,DeliverTo,Shipping Address
84,187,285,230,298, TDT-,Shipping Address
85,650,285,688,299,Term,
86,706,285,783,299,30R60+10,
87,878,285,940,302,Supplier,
88,946,285,985,299,Code,
89,1002,285,1229,299,AWO01-A.W.FABER-CASTELL,
90,1235,285,1258,302,(M),
91,1265,285,1298,299,SDN,
92,1306,285,1339,298,BHD,
93,188,306,212,319,MY,Shipping Address
94,219,306,266,319,HERO,Shipping Address
95,273,306,401,319,HYPERMARKET,Shipping Address
96,406,306,440,319,SDN,Shipping Address
97,448,306,481,319,BHD,Shipping Address
98,488,306,551,323,(TAMAN,Shipping Address
99,558,306,603,319,DESA,Shipping Address
100,1683,305,1854,323,TDTPO20091348,Order Number
101,187,327,260,344,TEBRAU),Shipping Address
102,66,348,135,373,Remark,
