,xmin,ymin,xmax,ymax,Object,labels
0,223,171,279,182,PDT,
1,286,171,410,182,Reference,
2,420,171,462,182,No.,
3,224,222,280,237,Page,
4,944,93,1092,107,Purchase,
5,1104,93,1201,107,Order,
6,756,208,892,217,S1z001s292,
7,643,222,697,233,lofl,
8,1068,142,1176,153,Purchase,Order Number
9,1186,142,1260,153,Order,Order Number
10,1266,142,1307,153,No.,Order Number
11,1458,146,1462,153,2,Order Number
12,1068,164,1176,175,Purchase,Issuer Date
13,1186,164,1260,175,Order,Issuer Date
14,1265,164,1323,175,Date,Issuer Date
15,1068,193,1156,204,Printed,Print date
16,1162,196,1191,204,on,Print date
17,1458,196,1462,204,A,Print date
18,1070,222,1182,237,Expected,Deliver Date
19,1190,222,1285,233,Receive,Deliver Date
20,1296,222,1352,233,Date,Deliver Date
21,1362,222,1385,233,&,Deliver Date
22,1393,222,1462,233,Time:,Deliver Date
23,1493,142,1554,153,10081,Order Number
24,1489,164,1619,175,22/09/2020,Issuer Date
26,1600,142,1715,153,20019292,Order Number
27,1489,193,1619,204,23/09/2020,Print date
28,1627,193,1724,204,09:18:16,Print date
29,1494,221,1619,233,11/11/2020,Deliver Date
30,1632,222,1724,233,15:00:00,Deliver Date
32,231,244,322,255,Vendor,Vendor Address
36,1078,244,1170,259,Ship-To,Shipping Address
37,1179,244,1284,255,Location,Shipping Address
40,224,266,295,277,04516,Vendor Address
41,305,266,415,277,AWFAO2,Vendor Address
42,225,288,508,299,A.W.FABER-CASTELL,Vendor Address
43,515,288,557,302,(MD),Vendor Address
44,566,288,622,299,SDN,Vendor Address
45,630,288,689,299,BHD,Vendor Address
46,224,310,281,322,NO.9,Vendor Address
47,290,320,295,324,",",Vendor Address
48,303,310,390,322,JALAN,Vendor Address
49,400,310,432,322,TP,Vendor Address
50,440,310,453,322,2,Vendor Address
51,224,332,324,344,TAMAN,Vendor Address
52,334,332,555,344,PERINDUSTRLIAN,Vendor Address
53,566,332,633,344,SIME,Vendor Address
54,642,333,698,346,"UEP,",Vendor Address
55,1075,266,1137,277,10081,Shipping Address
56,1150,266,1210,277,KUC,Shipping Address
57,1070,288,1223,299,ECONSAVE,Shipping Address
58,1230,288,1306,299,CASH,Shipping Address
59,1313,288,1335,299,&,Shipping Address
60,1342,288,1439,299,CARRY,Shipping Address
61,1446,288,1504,302,(EM),Shipping Address
62,1514,288,1570,299,SDN,Shipping Address
63,1578,288,1637,299,BHD,Shipping Address
64,1070,310,1125,322,LOT,Shipping Address
65,1132,310,1202,322,20023,Shipping Address
66,1212,310,1310,324,(PIIASE,Shipping Address
67,1317,310,1339,324,2),Shipping Address
68,1348,310,1444,322,BLOCK,Shipping Address
69,1456,310,1593,323,"11,.MUARA",Shipping Address
70,1600,310,1686,322,TEBAS,Shipping Address
71,1696,310,1773,322,LAND,Shipping Address
72,1780,310,1920,324,"DISTRICT,J",Shipping Address
73,223,354,295,366,47600,Vendor Address
74,305,354,419,366,SUBANG,Vendor Address
75,427,354,500,366,JAYA,Vendor Address
76,507,354,658,366,SELANGOR,Vendor Address
77,663,355,758,366,DARUL,Vendor Address
78,764,354,856,366,LLISAN,Vendor Address
79,224,376,260,388,‘Vel,Vendor Address
80,268,380,271,388,:,Vendor Address
81,279,377,433,388,03-56334718,Vendor Address
82,442,369,524,397,563347,Vendor Address
83,537,377,573,388,ax,Vendor Address
84,582,380,585,388,:,Vendor Address
85,592,377,745,388,O3-56341231,Vendor Address
87,1070,376,1106,388,‘Tel,Shipping Address
88,1114,380,1117,388,:,Shipping Address
89,1124,376,1287,388,O85-664348/9,Shipping Address
90,1101,332,1142,344,350,Shipping Address
91,1149,332,1281,344,"KUCIIING,",Shipping Address
92,1298,332,1445,344,SARAWAK.,Shipping Address
93,1454,332,1603,344,MALAYSIA,Shipping Address
94,1380,377,1423,388,liax,Shipping Address
95,1431,380,1434,388,:,Shipping Address
96,1442,377,1583,388,O85-664350,Shipping Address
100,253,1135,276,1146,  ,
110,304,402,307,410,:,
111,1072,399,1141,410,E-mail,
112,1150,402,1153,410,=,
113,231,422,273,430,Hem,
114,476,409,589,441,Description,
115,1085,421,1197,430,SKU/Order,
116,1206,421,1246,430,Unit,
117,1335,422,1395,430,Order,
118,1404,422,1450,430,Pack,
119,1547,409,1589,441,Total,
120,1663,421,1703,430,Unit,
121,1711,421,1762,430,Price|,
122,231,428,313,460,Barcode,
123,1090,428,1174,459,Capacity,
124,1362,440,1404,449,Free,
125,1413,440,1453,449,Unit],
126,1713,427,1760,459,ann,
127,1871,440,1920,450,azn,
128,225,459,353,471,543000087,
129,501,469,503,472,:,
130,574,469,576,472,:,
131,1249,459,1296,471,10.0],
132,1405,449,1452,481,3.0],
133,1684,469,1695,476,5,
134,528,469,531,473,>,
135,1684,459,1710,491,2.3,
136,1886,469,1905,480,2,
137,232,479,417,490,9556089435093,
138,469,469,500,480,FO,
139,513,469,597,480,CLICK,
140,607,469,731,480,BALLPEN,
141,740,469,827,483,(BLUE),
142,835,469,865,480,4S,
143,874,469,961,480,0.5MM,
144,973,469,1053,480,142593,
145,1192,479,1292,490,Loci,
146,1417,479,1452,490,oo,
147,1542,459,1592,491,30.0),
148,1706,459,1762,491,3400],
149,1856,469,1920,480,70.20],
150,225,499,353,510,543000088,
151,566,508,571,509,-,
152,774,508,778,509,<,
153,1248,489,1296,521,10.0],
154,1416,499,1452,510,2.0,
155,1880,508,1901,509,52,
156,708,509,710,511,:,
157,779,509,803,512,=,
158,859,508,862,512,:,
159,996,508,1007,516,7,
160,1543,508,1554,517,2,
161,232,518,419,529,0556080435086,
162,469,508,503,520,PCO,
163,513,508,600,520,CLICK,
164,607,508,729,520,BALLPEN,
165,740,508,825,523,(ASST),
166,833,508,863,520,45,
167,872,508,960,520,0.5MM,
168,970,508,1052,520,142594,
169,1417,518,1450,529,oo,
170,1532,499,1592,531,20.0),
171,1855,508,1920,520,46.80],
172,225,538,353,550,543000090,
173,1249,538,1296,550,10.0,
174,1417,538,1452,550,2.0],
175,498,548,504,558,>,
176,526,548,576,558,CLIC,
177,851,548,893,559,So.,
178,997,548,1054,559,2252,
179,1542,548,1575,559,20.,
180,1886,557,1889,559,i,
181,232,538,417,573,0556080422543,
182,470,548,500,559,FC,
183,513,548,598,559,CLICK,
184,608,548,729,559,BALLPEN,
185,740,548,827,562,(BLUE),
186,835,548,865,559,48,
187,874,548,960,559,0.7MM,
188,973,548,1039,559,14225:,
189,1417,558,1452,569,oo,
190,1556,548,1592,559,0.0),
191,1855,548,1920,559,46.80],
192,225,578,349,589,543000091,
193,520,587,527,588,-,
194,1251,578,1296,589,10.0],
195,1416,578,1452,589,2.0,
196,998,587,1009,596,>,
197,232,597,419,608,0556058042204,
198,469,587,499,599,PO,
199,513,587,597,599,CLICK,
200,607,587,731,598,BALILPEN,
201,740,587,813,601,(BLK),
202,821,587,850,599,48,
203,860,587,947,599,0.7MM,
204,956,587,1039,599,142255,
205,1417,597,1452,608,oo,
206,1532,577,1592,609,20.0),
207,1855,587,1920,599,46.80],
208,225,617,353,629,543000092,
209,777,627,798,630,3s,
210,856,627,862,631,5,
211,1251,608,1299,639,10.0),
212,1417,617,1452,628,3.0],
213,251,636,418,648,haere,
214,470,627,504,638,FC,
215,513,627,598,638,CLICK,
216,609,627,729,638,BALLPEN,
217,740,627,825,641,(ASST),
218,833,627,863,638,4S,
219,872,627,958,638,0.7MM,
220,971,627,1052,638,142254,
221,1191,617,1281,652,LUNES,
222,1417,636,1452,648,oo,
223,1542,627,1592,638,30.0),
224,1683,627,1762,638,2.3400,
225,1856,627,1920,638,70.20],
226,225,657,353,668,543000158,
227,507,647,516,679,oe,
228,1249,647,1299,679,10.0),
229,1420,657,1452,668,1.0],
230,500,666,531,670,SoTaic,
231,1684,666,1695,675,2,
232,232,676,419,687,9556089425109,
233,469,666,503,678,PO,
234,513,666,597,678,CTICK,
235,607,666,731,677,BATI-PEN,
236,740,666,813,680,(BLK),
237,821,666,850,678,48,
238,860,666,947,678,0.5MM,
239,956,666,1039,678,142595,
240,1192,676,1292,687,LOM,
241,1417,676,1452,687,oo,
242,1545,657,1592,688,10.0],
243,1684,657,1762,688,2.3400),
244,1856,666,1920,678,23.40],
245,225,686,352,718,543010043,
246,476,706,531,709,eee,
247,700,706,746,713,2,
248,888,706,897,713,=,
249,956,706,961,709,7,
250,1251,687,1299,718,10.0),
251,1422,696,1452,707,1.0],
252,232,715,419,726,0555684620279,
253,469,706,500,717,IPC,
254,513,696,566,728,GEL,
255,572,696,625,728,PEN,
256,634,706,705,717,TRUE,
257,712,706,765,717,GEL,
258,772,706,806,717,0.5,
259,816,705,918,717,BK/RED,
260,925,706,961,717,BC,
261,1417,715,1450,726,oo,
262,1545,696,1592,728,10.0),
263,1683,706,1762,717,2.5300,
264,1855,706,1920,717,25.30),
265,469,742,554,754,243503,
266,225,760,355,792,543010044,
267,526,780,531,783,G,
268,600,783,603,787,3,
269,700,780,746,787,IGE,
270,887,783,890,787,3,
271,951,780,955,783,:,
272,1251,761,1299,792,10.0),
273,1422,770,1452,781,1.0],
274,470,780,500,791,FC,
275,513,780,566,791,GEL,
276,573,780,624,791,PEN,
277,634,780,706,791,TRUE,
278,712,780,765,791,GEL,
279,772,780,806,791,0.5,
280,817,779,912,791,BL/RED,
281,920,780,952,791,BC,
282,1262,789,1291,801,sci,
283,1417,789,1452,801,oo,
284,1544,770,1592,802,10.0],
285,1683,780,1762,791,2.5300,
286,1856,780,1920,791,25.30],
287,469,816,554,828,243505,
288,225,844,352,855,543010045,
289,498,854,531,857,-G,
290,936,854,941,857,+,
291,1241,835,1296,866,ikexe),
292,1417,844,1452,855,3.0],
293,232,863,419,875,9555684620309,
294,470,854,504,865,FC,
295,513,854,566,865,GEL,
296,574,854,624,865,PEN,
297,634,854,706,865,TRUE,
298,712,854,765,865,GEL,
299,772,854,806,865,0.5,
300,817,853,898,865,BK/BL,
301,906,854,938,865,BC,
302,950,854,1036,865,243504,
303,1192,844,1291,879,SSCA.,
304,1417,863,1452,875,oo,
305,1542,854,1592,865,30.0),
306,1856,854,1920,865,75.90],
307,225,874,353,906,543010046,
308,520,893,527,894,-,
309,1249,874,1296,906,10.0,
310,1417,883,1452,895,3.0],
311,500,893,504,897,:,
312,526,893,566,904,GRL.,
313,602,902,606,904,PEN,
314,634,893,705,904,TRUE,
315,726,894,766,904,GET.,
316,847,893,892,904,K2,
317,947,893,972,904,22.,
318,232,903,418,914,9555684620484,
319,469,893,499,905,FC,
320,513,893,557,905,GEL,
321,572,893,626,904,PEN,
322,668,893,704,905,TRUE,
323,712,893,757,905,GEIL.,
324,772,893,807,905,0.7,
325,815,893,869,904,BLK,
326,894,893,946,905,2XBC:,
327,973,893,1045,905,243802,
328,1417,903,1450,914,oo,
329,1542,893,1592,905,30.0],
330,1856,893,1920,905,75.90,
331,225,923,353,935,543010047,
332,481,933,548,936,1C.GE,
333,601,933,652,940,—,
334,700,933,748,940,oe,
335,1249,913,1296,945,10.0],
336,1417,923,1452,934,2.0],
337,232,942,419,954,9555684620514,
338,468,933,500,944,IPC,
339,513,933,566,944,GEL,
340,572,933,624,944,PEN,
341,639,933,705,944,TRUE,
342,712,933,765,944,GEL,
343,772,933,807,944,0.7,
344,815,932,934,944,BLK/RED,
345,940,933,1026,944,243803,
346,1191,942,1291,954,LONE,
347,1417,942,1452,954,oo,
348,1532,923,1592,955,20.0),
349,1683,933,1762,944,2.5300,
350,1856,933,1920,944,50.60],
351,225,962,353,974,543010077,
352,1249,953,1299,985,10.0),
353,1416,963,1452,974,2.0,
354,501,972,503,975,>,
355,526,972,549,983,GEI,
356,600,980,606,983,IN,
357,634,972,666,983,TRUE,
358,726,977,749,983,GEL,
359,788,982,791,983,0.,
360,953,972,955,975,:,
361,1542,972,1575,983,20.,
362,1699,982,1725,983,52,
363,1886,982,1889,983,-,
364,232,982,417,993,0555684620453,
365,469,972,500,983,FC,
366,513,972,566,983,GEL,
367,572,962,625,994,PEN,
368,630,962,703,994,TRUE,
369,712,962,761,994,GEL,
370,763,962,807,994,0.7,
371,816,972,858,983,BLU,
372,867,972,913,983,2x,
373,913,962,952,994,BC,
374,1192,982,1292,993,LUNTTel,
375,1417,962,1451,997,oOo,
376,1556,962,1592,994,0.0),
377,1674,962,1762,994,2.5300),
378,1856,972,1920,983,50.60],
379,469,1008,553,1020,243801,
380,225,1037,353,1048,543510000,
381,1249,1027,1296,1059,12.0,
382,1420,1037,1452,1048,1.0],
383,501,1046,503,1049,:,
384,565,1033,617,1065,TO,
385,795,1033,836,1065,“TO,
386,945,1046,957,1054,2,
387,1557,1046,1568,1055,2,
388,469,1046,500,1057,FC,
389,513,1046,573,1057,ONE,
390,618,1046,678,1057,TOUCH,
391,685,1046,855,1057,CORRECTOR,
392,868,1046,892,1057,1S,
393,906,1046,987,1057,169209,
394,1417,1056,1452,1067,oo,
395,1547,1046,1592,1057,12.0],
396,1683,1046,1762,1057,4.5500,
397,1856,1046,1920,1057,54.60],
398,225,1076,353,1087,543520000,
399,481,1085,503,1088,°C,
400,521,1085,525,1086,ONE,
401,570,1085,656,1089,‘TOUC:,
402,775,1085,828,1093,scr,
403,893,1086,913,1093,_,
404,983,1085,991,1089,5,
405,1249,1066,1296,1098,12.0],
406,1417,1076,1452,1087,2.0],
407,232,1095,414,1107,0555684651891,
408,468,1086,503,1097,IPC,
409,513,1086,573,1097,ONE,
410,584,1086,679,1097,TOUCIIL,
411,685,1086,854,1097,CORRECTOR,
412,853,1086,956,1097,REFILL,
413,962,1085,992,1097,2S,
414,1004,1085,1073,1097,16920:,
415,1191,1095,1290,1107,VUNTTe,
416,1417,1095,1452,1107,oo,
417,1532,1076,1592,1108,24.0),
418,1683,1085,1762,1097,4.5500,
419,1844,1085,1920,1097,109.20,
420,225,1115,353,1127,543540000,
421,1249,1106,1296,1138,12.0,
422,1420,1115,1452,1127,1.0],
423,568,1113,617,1144,TO,
424,795,1113,836,1144,“TO,
425,1061,1125,1073,1133,2,
426,1557,1125,1568,1134,2,
427,1893,1125,1904,1134,2,
428,469,1125,504,1137,FC,
429,513,1125,573,1136,ONE,
430,618,1125,678,1136,TOUCH,
431,685,1125,855,1137,CORRECTOR,
432,863,1125,1011,1137,BC+REFILL,
433,1022,1125,1074,1136,1692:,
434,1417,1135,1451,1146,oo,
435,1545,1115,1589,1147,12.0,
436,1684,1125,1762,1136,6.1900),
437,1856,1125,1920,1137,74.28],
438,225,1155,349,1166,543540001,
439,605,1164,697,1165,SUCLLC,
440,1249,1145,1296,1177,12.0],
441,1421,1155,1452,1166,1.0,
442,479,1165,503,1171,°C,
443,568,1165,583,1172,i,
444,652,1164,703,1168,wc,
445,775,1165,817,1172,cn,
446,1027,1164,1038,1173,>,
447,1727,1169,1733,1175,5,
448,1871,1164,1883,1173,>,
449,232,1174,419,1185,0555684674326,
450,468,1165,499,1176,Ie,
451,513,1165,573,1176,ONE,
452,584,1165,679,1176,POUCII,
453,883,1166,884,1175,+,
454,899,1164,913,1176,4,
455,921,1165,975,1179,(VP),
456,986,1165,1067,1176,169215,
457,1193,1174,1243,1185,LOM,
458,1417,1174,1450,1185,oo,
459,1533,1155,1592,1187,12.0),
460,1672,1155,1762,1187,11.0600,
461,1844,1165,1919,1176,132.72},
462,225,1194,353,1206,543700010,
463,1249,1194,1296,1206,10.0,
464,1417,1194,1452,1206,3.0],
465,232,1194,395,1229,35560890068!,
466,470,1204,550,1215,EXAM,
467,559,1204,664,1215,ERASER,
468,676,1204,755,1215,187133,
469,1417,1214,1452,1225,oo,
470,1542,1194,1592,1226,30.0),
471,1688,1204,1762,1215,1.7100,
472,1856,1204,1920,1215,51.30],
473,224,1234,292,1246,Grand,
474,300,1234,358,1246,Total,
475,363,1235,451,1246,Amount,
